"","PathTaxID","PathNCBIResolved","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
"1793","176275",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1794","29916",TRUE,"Fusarium","Nectriaceae","Hypocreales","Sordariomycetes","Fungi"
"1795","47278",TRUE,"Trichothecium",NA,"Hypocreales","Sordariomycetes","Fungi"
"1796",NA,FALSE,NA,NA,NA,NA,NA
"1797","42210",TRUE,"Zoophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1798","76017",TRUE,"Pandora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1799","176275",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1800",NA,FALSE,NA,NA,NA,NA,NA
"1801","5530",TRUE,"Metarhizium","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1802",NA,FALSE,NA,NA,NA,NA,NA
"1803","176275",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1804","89141",TRUE,"Cordyceps","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1805",NA,FALSE,NA,NA,NA,NA,NA
"1806",NA,FALSE,NA,NA,NA,NA,NA
"1807","89141",TRUE,"Cordyceps","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1808","5065",TRUE,"Aspergillus","Aspergillaceae","Eurotiales","Eurotiomycetes","Fungi"
"1809","29916",TRUE,"Fusarium","Nectriaceae","Hypocreales","Sordariomycetes","Fungi"
"1810","217360",TRUE,"Aschersonia","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1811","324773",TRUE,"Moelleriella","Clavicipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1812","132577",TRUE,"Lecanicillium","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1813","176681",TRUE,"Pandora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1814","34488",TRUE,"Conidiobolus","Ancylistaceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1815","181062",TRUE,"Zoophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1816","1973308",TRUE,"Conidiobolus","Ancylistaceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1817","423470",TRUE,"Zoophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1818","42210",TRUE,"Zoophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1819","76017",TRUE,"Pandora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1820","2714763",TRUE,"Akanthomyces","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1821","176275",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1822","76012",TRUE,"Conidiobolus","Ancylistaceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1823","76012",TRUE,"Conidiobolus","Ancylistaceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1824","76017",TRUE,"Pandora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1825","2675649",TRUE,"Erynia","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1826","181062",TRUE,"Zoophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1827","34488",TRUE,"Conidiobolus","Ancylistaceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1828","76012",TRUE,"Conidiobolus","Ancylistaceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1829","76017",TRUE,"Pandora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1830","42210",TRUE,"Zoophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1831","76017",TRUE,"Pandora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1832","176275",TRUE,"Beauveria","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
"1833",NA,FALSE,NA,NA,NA,NA,NA
"1834","423470",TRUE,"Zoophthora","Entomophthoraceae","Entomophthorales","Entomophthoromycetes","Fungi"
"1835","2714763",TRUE,"Akanthomyces","Cordycipitaceae","Hypocreales","Sordariomycetes","Fungi"
