"ERNnem","HostSpecies","PathogenSpecies","PathogenStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate","Group","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
85,"Migdolus fryanus","Steinernema glaseri","Araros","Larva","Hemocoel","Field","Brasil","","Xenorhabdus poinarii","none",1997-05-26,1999-02-12,"Nematode",1540938,"Migdolus","Cerambycidae","Coleoptera","Insecta",37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
86,"Popillia japonica","Steinernema glaseri","N.J. ","Larva","Hemocoel","Field","USA","","Xenorhabdus poinarii","none",1997-05-26,1999-02-12,"Nematode",7064,"Popillia","Scarabaeidae","Coleoptera","Insecta",37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
87,"Strigoderma arboricola","Steinernema glaseri","N.C.","Larva","Hemocoel","Field","USA","","Xenorhabdus poinarii","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
88,"Anomala flavipennis","Steinernema glaseri","Klein","Larva","Hemocoel","Field","USA","","Xenorhabdus poinarii","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,37863,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
232,"Cephalcia abietis","Steinernema kraussei ","not maintained ","Pupa","Hemocoel","Field","Germany, Czech Republic, Austria","coniferous forest","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
89,"Cephalcia abietis","Steinernema kraussei","not maintained","Larva","Hemocoel","Field","Germany","coniferous forest","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
90,"Cephalcia abietis","Steinernema kraussei","not maintained","Larva","Hemocoel","Field","Czech Republic","coniferous forest","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
91,"Cephalcia abietis","Steinernema kraussei","not maintained","Larva","Hemocoel","Field","Austria","coniferous forest","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",860922,"Cephalcia","Pamphiliidae","Hymenoptera","Insecta",172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
92,"Cephalcia falleni","Steinernema kraussei","not maintained","Larva","Hemocoel","Field","Germany","coniferous forest","Xenorhabdus bovienii","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,172742,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
93,"Anomala cuprea","Steinernema kushidai","Hamakita","Larva","Hemocoel","Field","Japan","","Xenorhabdus japonica","none",1997-05-26,2000-12-28,"Nematode",121601,"Anomala","Scarabaeidae","Coleoptera","Insecta",107218,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
13,"Neocurtilla hexadactyla","Steinernema neocurtillis","not maintained","Adult","Hemocoel","Field","USA","","undescribed","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"Heliothis sp.","Steinernema rarum","Cordoba","Larva","Hemocoel","Field","Argentina","","Xenorhabdus sp.","none",1997-05-26,1999-02-12,"Nematode",7101,"Heliothis","Noctuidae","Lepidoptera","Insecta",172744,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
233,"Helicoverpa zea","Steinernema riobravis","unknown","Pupa","Hemocoel","Field","USA","maize","undescribed","none",1997-05-26,1999-02-12,"Nematode",7113,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",52067,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
234,"Spodoptera frugiperda","Steinernema riobravis","unknown","Pupa","Hemocoel","Field","USA","maize","undescribed","none",1997-05-26,1999-02-12,"Nematode",7108,"Spodoptera","Noctuidae","Lepidoptera","Insecta",52067,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
14,"Scapteriscus vicinus","Steinernema scapterisci","Uruguay","Adult","Hemocoel","Field","Uruguay","","Xenorhabdus sp.","none",1997-05-26,1999-02-12,"Nematode",2126138,"Neoscapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
95,"Scapteriscus borellii","Steinernema scapterisci","unknown","Larva","Hemocoel","Field","Argentina","","Xenorhabdus sp.","none",1997-05-26,2000-12-28,"Nematode",935122,"Scapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
15,"Scapteriscus vicinus","Steinernema scapterisci","green acres","Adult","Hemocoel","Field","USA","pasture, grassland","Xenorhabdus sp.","none",1997-05-26,1999-02-12,"Nematode",2126138,"Neoscapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
16,"Scapteriscus borellii","Steinernema scapterisci","green acres","Adult","Hemocoel","Field","USA","pasture, grassland","Xenorhabdus sp.","none",1997-05-26,2000-12-28,"Nematode",935122,"Scapteriscus","Gryllotalpidae","Orthoptera","Insecta",90986,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
96,"Phyllopertha horticola","Steinernema sp.","not maintained","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland golf course","undescribed","none",1997-05-26,1999-02-12,"Nematode",207390,"Phyllopertha","Scarabaeidae","Coleoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
97,"Amphimallon solstitialis","Steinernema sp.","not maintained","Larva","Hemocoel","Field","The Netherlands","sandy loam, loamy sand / grassland golf course","undescribed","none",1997-05-26,1999-02-12,"Nematode",360071,"Amphimallon","Scarabaeidae","Coleoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
98,"Scitala sericans","Steinernema sp.","not maintained","Larva","Hemocoel","Field","Australia","","undescribed","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
99,"Adoryphorus couloni","Steinernema sp.","not maintained","Larva","Hemocoel","Field","Australia","","undescribed","none",1997-05-26,1999-02-12,"Nematode",NA,NA,NA,NA,NA,34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
100,"Leptinotarsa decemlineata","Steinernema sp.","X-II","Larva","Hemocoel","Field","","","undescribed","none",1997-05-26,1999-02-12,"Nematode",7539,"Leptinotarsa","Chrysomelidae","Coleoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
101,"Graphognathus sp.","Steinernema sp.","","Larva","Hemocoel","Field","","","undescribed","none",1997-05-27,1999-02-12,"Nematode",NA,NA,NA,NA,NA,34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
102,"Cryptorrhynchus lapathi","Steinernema sp.","not maintained","Larva","Hemocoel","Field","Czech Republic","","undescribed","none",1997-05-27,1999-02-12,"Nematode",NA,NA,NA,NA,NA,34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
103,"Acantholyda posticalis","Steinernema sp.","syn. janicki","Larva","Hemocoel","Field","Poland","","undescribed","none",1997-05-27,1999-02-12,"Nematode",222798,"Acantholyda","Pamphiliidae","Hymenoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
104,"Operophtera brumata","Steinernema sp.","syn. thesami","Larva","Hemocoel","Field","","","undescribed","none",1997-05-27,1999-02-12,"Nematode",104452,"Operophtera","Geometridae","Lepidoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
105,"Agrotis ipsilon","Steinernema sp.","not maintained","Larva","Hemocoel","Field","Spain","clay loam / maize","undescribed","none",1997-05-27,1999-02-12,"Nematode",56364,"Agrotis","Noctuidae","Lepidoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
106,"Agrotis segetum","Steinernema sp.","not maintained","Larva","Hemocoel","Field","Spain","clay loam / maize","undescribed","none",1997-05-27,1999-02-12,"Nematode",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
107,"Sesamia nonagrioides","Steinernema sp.","not maintained","Larva","Hemocoel","Field","Spain","clay loam / maize","undescribed","none",1997-05-27,1999-02-12,"Nematode",236805,"Sesamia","Noctuidae","Lepidoptera","Insecta",34507,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
