PathogenSpecies,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
Fusarium subglutinans,42677,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Fungi
Gibellula clavulifera,1621108,Gibellula,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Haplographium coccorum,NA,NA,NA,NA,NA,NA
Hirsutella  besseyi ,NA,NA,NA,NA,NA,NA
Hirsutella citriformis,104307,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella entomophila,NA,NA,NA,NA,NA,NA
Hirsutella gigantea,150356,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella graptopsaltriae,NA,NA,NA,NA,NA,NA
Hirsutella guyana,332602,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella longicolla,714877,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella repens,NA,NA,NA,NA,NA,NA
Hirsutella satumaensis,1602208,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella  sp. ,42367,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella strigosa,270390,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella stylophora,NA,NA,NA,NA,NA,NA
Hirsutella thompsonii,42368,Hirsutella,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Hirsutella verticillioides,NA,NA,NA,NA,NA,NA
Humicola  sp.,5526,Humicola,Chaetomiaceae,Sordariales,Sordariomycetes,Fungi
Metarhizium album,92629,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Metarhizium anisopliae,5530,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Metarhizium anisopliae var. majus,1650735,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Metarhizium cylindrosporae ,NA,NA,NA,NA,NA,NA
Metarhizium flavoviride ,92630,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Metarhizium flavoviride var. minus,92631,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Nomuraea rileyi,1649241,Metarhizium,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Nomuraea  sp.,43342,Nomuraea,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Penicillium  sp.,5073,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Penicillium thomii,36647,Penicillium,Aspergillaceae,Eurotiales,Eurotiomycetes,Fungi
Peziotrichum lachnella,NA,NA,NA,NA,NA,NA
Peziotrichum saccardinum,NA,NA,NA,NA,NA,NA
Phialophora malorum,108018,Cadophora,NA,Helotiales,Leotiomycetes,Fungi
Phoma cava,798079,Neocucurbitaria,Cucurbitariaceae,Pleosporales,Dothideomycetes,Fungi
Polycephalomyces formosus,150363,Polycephalomyces,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Scopulariopsis  sp.,40374,Scopulariopsis,Microascaceae,Microascales,Sordariomycetes,Fungi
Sorosporella uvella,150381,Sorosporella,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Sporothrix insectorum,150359,Sporothrix,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Fungi
Sporothrix  sp.,29907,Sporothrix,Ophiostomataceae,Ophiostomatales,Sordariomycetes,Fungi
Stilbum coccorum,NA,NA,NA,NA,NA,NA
Tilletiopsis  sp.,1500560,Tilletiopsis,NA,Entylomatales,Exobasidiomycetes,Fungi
Tolypocladium cylindrosporum,38005,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Tolypocladium extinguens,150384,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Tolypocladium niveum,29910,Tolypocladium,Ophiocordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Verticillium chlamydosporium,280754,Pochonia,Clavicipitaceae,Hypocreales,Sordariomycetes,Fungi
Verticillium coccosporum,93590,Verticillium,NA,Hypocreales,Sordariomycetes,Fungi
Verticillium fungicola,93591,Lecanicillium,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
Verticillium fusisporum,132577,Lecanicillium,Cordycipitaceae,Hypocreales,Sordariomycetes,Fungi
