"","CitationCode","Reference","CreationDate","ModificationDate","ReadBy","GetIt","nvpCount"
"36",44,"Andreadis, T.G. 1994. Host range tests with Edhazardia aedis (Microsporida Culicosporidae) against northern neartic mosquitoes.  J. Invertebr. Pathol. 64: 46-51.","1/8/2096","7/8/2096","","",4
"37",45,"Weseloh, R. M. and Andreadis, T. G., 1992.  Epizootiology of the fungus Entomophaga maimiga, and its impact on gypsy moth populations.  J. Invertebr. Pathol. 59: 133-141.","1/8/2096","7/17/2097","","",1
"38",46,"Latge, J. P. and Papierok, B. 1988. Aphid pathogens. pp 323-335. In  Minks, A.K. and Harrewijn, P. [eds.], Aphids: Their Biology, Natural Enemies, and Control. Elsevier, Amsterdam.","1/8/2096","7/16/2097","","",1
"39",47,"Soper, R.S., and Ward, M.G. 1981. Production, formulation and application of fungi for insect control. pp.161-180. In, Beltsville Symposia in Agricultural Research [5]: Biological Control in Crop Production. Allanheld, Osmun & Co. Totowa, New Jersey.","1/8/2096","7/8/2096","","",4
"40",48,"Vandenberg, J.D. 1992. Bioassay of the chalkbrood fungus Ascosphaera aggregata on larvae of the alfalfa leafcutting bee, Megachile rotundata.  J. Invertebr. Pathol. 60: 159-163.","1/8/2096","7/8/2096","","",1
"41",50,"McCoy, C.W., and Boucias, D.G. 1989. Selection of Beauveria bassiana pathotypes as potential microbial agents of soil-inhabiting citrus weevils. Mem. Inst. Oswaldo Cruz, Rio de Janeiro, 84: 75-80.","1/8/2096","7/8/2096","","",4
"42",51,"Zoberi, M.H. 1995. Metarhizium anisopliae, a fungal pathogen of Reticulitermes flavipes (Isoptera: Rhinotermitidae). Mycologia 87: 354-359.","1/8/2096","7/8/2096","","",1
"43",54,"Guy, P.L., Toriyama, S. and Fuji, S. 1992. Occurrence of a picorna-like virus in planthopper species and its transmissioon in Laodelphax striatellus. J. Invertebr. Pathol. 59: 161-164.","1/8/2096","7/8/2096","","",NA
"44",55,"Inglis, G.D., Feniuk, R.P., Goettel, M.S., and Johnson, D.L. 1995.  Mortality of grasshoppers exposed to Beauveria bassiana during oviposition and nymphal emergence. J. Invertebr. Pathol. 65: 139-146.","1/8/2096","7/8/2096","","",1
"45",57,"Darwish, A., Brooks, W.M., and Moore, C.B. 1992. Ultrastructural observations and taxonomic considerations of a miscrosporidium of the larch sawfly, Pristiphora erichsonii: conspecificity with Thelohania pristiphorae and Pleistophora sp.  J. Invertebr. Pathol. 59(2): 178-185.","1/8/2096","7/20/2099","","",1
"46",58,"Khachatourians, G.G. 1992. Virulence of five Beauveria strains, Paecylomyces farinosus, and Verticillium lecanii against the migratory grasshopper, Melanoplus sanguinipes. J. Invertebr. Pathol. 59: 212-214.","1/8/2096","7/8/2096","","",7
"47",60,"Zimmermann, G. and Weiser, J. 1991. Pathogens and diseases. pp. 253-271. In van der Geest, L. P. S. and Evenhuis, H.H. [eds.], Tortricid Pests: Their Biology, Natural Enemies and Control. Elsevier Science Publishers, Amsterdam.","1/8/2096","7/8/2096","","",52
"48",61,"Henry, J. E., 1981. Natural and applied control of insects by protozoa. Ann. Rev. Entomol. 26: 49-73.","1/8/2096","6/16/2099","","",35
"49",62,"Canning, E. U. 1981. Insect control with protozoa. Pp. 201-216 In  Beltsville Symposia in Agricultural Research [5]: Biological Control in Crop Production. Allanheld, Osmun & Co. Totowa, New Jersey. ","1/8/2096","4/9/2099","","",12
"50",63,"Purrini, K. and Skatulla, U. 1979. Uber die naturlichen Krankheiten der Frostspanner Operophtera brumata  L. und Erranis defoliaria  Clark (Lep. Geometridae) in Spessart, Bayern. Anz. schadlingskde., Pflanzenschutz, Umweltschutz, 52: 20-24.","1/8/2096","7/8/2096","","",1
"51",64,"Gaugler, R.R., and Brooks, W.M. 1975. Sublethal effects of infection by Nosema heliothidis in the corn earworm Heliothis zea.  J. Invertebr. Pathol. 26: 57-63.","1/8/2096","7/12/2096","","",1
"52",66,"Garcia, J.J. and Becnel, J.J. 1994. Eight new species of microsporidia (Microspora) from Argentine mosquitoes (Diptera: Culicidae).  J. Invertebr. Pathol. 64: 243-252.","1/8/2096","7/8/2096","","",8
"53",67,"De Buron, I. and Beckage, N.E. 1992. Characterization of a Polydnavirus (PDV) and a virus-like filamentous particle (VLFP) in the Braconid wasp Cotesia congregata (Hymenoptera: Braconidae).  J. Invertebr. Pathol. 59: 315-327.","1/8/2096","7/8/2096","","",NA
"54",70,"Dunphy, G.B. and Bourchier, R.S. 1992. Responses of nonimmune larvae of the gypsy moth, Lymantria dispar, to bacteria and the influence of tannic acid.  J. Invertebr. Pathol. 60: 26-32.","1/8/2096","7/8/2096","","",NA
"55",71,"Woods, S.A., Streett, D.A., and Henry, J. E. 1992. Temporal patterns of mortality from an Entomopoxvirus and strategies for control of the migratory grasshopper (Melanoplus sanguinipes F.).  J. Invertebr. Pathol. 60: 33-39.","1/8/2096","7/8/2096","","",NA
"56",72,"Laubscher, J. M., Jaffer, M.A., and von Wechmar, M.B. 1992.  Detection by immunogold cytochemical labeling of Aphid Lethal Paralysis Virus in the Aphid Rhopalosiphum padi (Hemiptera: Aphididae).  J. Invertebr. Pathol. 60: 40-46.","1/8/2096","7/8/2096","","",NA
"57",76,"Henry, J.E. 1969. Extension of the host range of Nosema locustae in Orthoptera.  Ann. Entomol. Soc. Amer. 62:452-453.","1/8/2096","6/16/2099","","",31
"58",77,"Diarra, K., and Toguebaye, B.S. 1991. On the development cycle and ultrastructure of Vavraia culicis Weiser, 1947 (Microsporida: Pleistophoridae) with comments on the taxonomy of the genus Vavraia Weiser, 1977.  European J. Protistology  27:134-140.","1/8/2096","7/20/2096","","",1
"59",78,"Andreadis, T. G. 1988. Amblyospora connecticus sp. nov. (Microsporida: Amblyosporidae): horizontal transmission studies in the mosquito, Aedes cantator and formal description.  J. Invert. Pathol. 52:90-101.","1/8/2096","7/17/2097","","",1
"60",79,"Glare, T.R., and Crawford, A.M. 1992. Viral diseases of scarabs. pp 21-32. In Glare, T.R.  and Jackson, T.A. [eds.], Use of Pathogens in Scarab Pest Management. Intercept Ltd. Andover, England.","1/8/2096","7/8/2096","","",NA
"61",80,"Kalmakoff, J., Moore, S., and Pottinger, R.P. 1972.  An iridescent virus from the grass grub Costelytra zealandica: serological study.  J. Invertebr. Pathol. 20: 70-76.","1/8/2096","7/12/2096","","",NA
"62",81,"Moore, S.G., Kalmakoff, J.S., and Miles, J.A.R. 1974. An iridescent virus and a rickettsia from the grass grub Costelytra zealandica (Coleoptera: Scarabaeidae). N. Z. J. Zool. 1: 205-210.","1/8/2096","7/14/2096","","",NA
"63",84,"Otvos, I. S. 1991. North American species in forests. pp. 719-756. In  van der Geest, L.P.S. and Evenhuis, H.H. [eds.], Tortricid Pests: Their Biology, Natural Enemies and Control. Elsevier Science Publishers, Amsterdam.","1/8/2096","7/16/2097","","",3
"64",85,"Evans, H. C. and Prior, C. 1990. Entomopathogenic Fungi. pp. 3-17. In Rosen, D. [ed.], Armored Scale Insects. Their Biology, Natural Enemies, and Control. vol. B. Elsevier Science Publishers. Amsterdam.","1/8/2096","2/20/2001","","requested item to see if I could track down the San Thome locality.",195
