"ERNnem","refCode","Reference","HostSpecies","PathogenSpecies","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
58,1284,"Veremchuk, G. V., and Litvinchuk, L. N., 1971.  Nematodes of the genus Neoaplectana (Rhabditida: Steinernematidae) --parasites of the larch looper moth (Semiothisa pumila Kusn.) (Lepidoptera: Geometridae), pp. 92-95.  In New and little known species of the Siberian fauna.  Akad. Nauk SSR Novosibersk. (in Russian, English summary)","Semiothisa pumila","Steinernema carpocapsae",NA,NA,NA,NA,NA,34508,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
59,1303,"Stammer, H. J. and Wachek, F., 1952.  Ein neuer parasitischer Nematode, Carabonema hasei h.g. h.sp. (Carbonematidae n. fam.).  Zool. Anz. 148: 185-193","Pardileus calceatus","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
60,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Selatosomus melancholicus","Steinernema feltiae",1490103,"Selatosomus","Elateridae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
61,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Pytho depressus","Steinernema feltiae",295987,"Pytho","Pythidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
62,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Rhagium inquisitor","Steinernema feltiae",933255,"Rhagium","Cerambycidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
63,1239,"Poinar, G. O., Jr., 1979. Nematodes for Biological Control of Insects. CRC Press, Boca Raton, FL.","Amphimallon solstitialis","Steinernema feltiae",360071,"Amphimallon","Scarabaeidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
64,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109","Melolontha afflicta","Steinernema feltiae",NA,NA,NA,NA,NA,52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
65,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109","Onitis alexis","Steinernema feltiae",206751,"Onitis","Scarabaeidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
66,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109","Pentodon algerinum","Steinernema feltiae",207357,"Pentodon","Scarabaeidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
67,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.","Capnodis tenebrionis","Steinernema feltiae",1366398,"Capnodis","Buprestidae","Coleoptera","Insecta",52066,"Steinernema","Steinernematidae","Rhabditida","Chromadorea","Metazoa"
