"","ERNntr","Pathogen","DateEntered","DateModified","LogMaxDose","HostStageTested","Host","Group","HighTaxon","LowTaxon","Order","Family"
"141",141,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Chrysomela walshi","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Coleoptera","Chrysomelidae"
"142",142,"Thymelicus lineola NPV","1/20/2096","2/12/2099","7 pibs/ml","Larva","Anophothrips obscurus","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","",""
"143",143,"Carposina niponensis GV","1/20/2096","2/12/2099"," NA","Larva","Adoxophyes orana","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Tortricidae"
"144",144,"Carposina niponensis GV","1/20/2096","2/12/2099"," Not given","Larva","Archips breviplicana","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Tortricidae"
"145",145,"Carposina niponensis GV","1/20/2096","2/12/2099"," Not given","Larva","Homona magnanima","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Tortricidae"
"146",146,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Orthosia gothica","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"147",147,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Spodoptera littoralis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"148",148,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Arctia caja","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"149",149,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Spilosoma maculosa","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"150",150,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Plutella xylostella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Plutellidae"
"151",151,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Galleria mellonella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"152",152,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Evergestis forficalis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"153",153,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Antheraea pernyi","Viruses","DNA virus","Baculoviridae","Lepidoptera","Saturniidae"
"154",154,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Adoxophyes orana","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"155",155,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Cydia pomonella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"156",156,"Mamestra brassicae NPV (MbMNPV)","1/22/2096","12/13/2000",NA,"Larva","Lacanobia oleracea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"157",157,"Heliothis armigera NPV  (HaMNPV)","1/22/2096","2/12/2099",NA,"Larva","Spodoptera littoralis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"158",158,"Dasychira basiflava NPV","1/22/2096","2/12/2099","7 pibs/ml","Larva","Lymantria dispar","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"159",159,"Plodia interpunctella GV","1/23/2096","2/12/2099","5 pibs/g of diet","Larva","Cadra cautella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"160",160,"Cydia pomonella GV","1/23/2096","12/13/2000","11 pibs/gal","Larva","Helicoverpa zea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"161",161,"Cydia pomonella GV","1/23/2096","12/13/2000","11 pibs/gal","Larva","Amyelois transitella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"162",162,"Bombyx mori NPV","1/23/2096","2/12/2099","","Larva","Lemyra imparilis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"163",163,"Bombyx mori NPV","1/23/2096","2/12/2099","","Larva","Euproctis similis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"164",164,"Bombyx mori NPV","1/23/2096","2/12/2099","","Larva","Euproctis similis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"165",165,"Bombyx mori NPV","1/23/2096","2/12/2099","","Larva","Papilio helenus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Papilionidae"
"166",166,"Bombyx mori NPV","1/23/2096","2/12/2099","","Larva","Artogeia rapae","Viruses","DNA virus","Baculoviridae","",""
"167",167,"Bombyx mori NPV","1/23/2096","2/12/2099","","Larva","Diaphania pyloalis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"168",168,"Bombyx mori NPV","1/23/2096","2/12/2099","","Larva","Theretra oldenlandiae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"169",169,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Thymelicus flavus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Hesperiidae"
"170",170,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Lycaena phlaeas","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lycaenidae"
"171",171,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Polyommatus icarus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lycaenidae"
"172",172,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Aglais urticae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"173",173,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Argynnis paphia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"174",174,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Clossiana selene","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"175",175,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Vanessa cardui","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"176",176,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Inachis io","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"177",177,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Polygonia c-album","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"178",178,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Vanessa atalanta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"179",179,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Pieris brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pieridae"
"180",180,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Artogeia napi","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pieridae"
"181",181,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Artogeia rapae","Viruses","DNA virus","Baculoviridae","",""
"182",182,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Maniola jurtina","Viruses","DNA virus","Baculoviridae","Lepidoptera","Satyridae"
"183",183,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Melanargia galathea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Satyridae"
"184",184,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Pararge aegeria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Nymphalidae"
"185",185,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Pyronia tithonus","Viruses","DNA virus","Baculoviridae","Lepidoptera","Satyridae"
"186",186,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Cydia pomonella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Tortricidae"
"187",187,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Epermenia chaerophyllella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Epermeniidae"
"188",188,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Yponomeuta cagnatella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Yponomeutidae"
"189",189,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Nematus ribesii","Viruses","DNA virus","Baculoviridae","Hymenoptera","Tenthredinidae"
"190",190,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Neodiprion sertifer","Viruses","DNA virus","Baculoviridae","Hymenoptera","Diprionidae"
"191",191,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Gilpinia hercyniae","Viruses","DNA virus","Baculoviridae","Hymenoptera","Diprionidae"
"192",192,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Arctia caja","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"193",193,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Spilosoma lutea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"194",194,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Tyria jacobaeae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"195",195,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Cilix glaucata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Drepanidae"
"196",196,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Biston betularia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"197",197,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Campaea margaritata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"198",198,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Dysstroma truncata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"199",199,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Cyclophora albipunctata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"200",200,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Cyclophora punctaria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"201",201,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Ecliptopera silaceata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"202",202,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Hemistola chrysoprasaria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"203",203,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Idaea aversata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"204",204,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Odontopera bidentata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"205",205,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Operophtera brumata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"206",206,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Opisthograptis luteolata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"207",207,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Ourapteryx sambucaria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"208",208,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Selenia dentaria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"209",209,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Timandra griseata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"210",210,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Xanthorhoe montanata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"211",211,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Xanthorhoe fluctuata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"212",212,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Xanthorhoe spadicearia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Geometridae"
"213",213,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Malacosoma neustria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lasiocampidae"
"214",214,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Philudoria potatoria","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lasiocampidae"
"215",215,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Calliteara pudibunda","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"216",216,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Euproctis chrysorrhoea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"217",217,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Acronicta americana","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"218",218,"Autographa californica NPV (AcMNPV)","1/24/2096","12/13/2000","6 pibs/larva","Larva","Agrotis segetum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"219",219,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Anaplectoides prasina","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"220",220,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Autographa pulchrina","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"221",221,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Autographa gamma","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"222",222,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Craniophora ligustri","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"223",223,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Diachrysia chrysitis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"224",224,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Diarisa mendica","Viruses","DNA virus","Baculoviridae","",""
"225",225,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Lacanobia oleracea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"226",226,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Helicoverpa zea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"227",227,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Mamestra brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"228",228,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Melanchra persicariae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"229",229,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Mythimna separata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"230",230,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Noctua fimbriata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"231",231,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Panolis flammea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"232",232,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Peridroma saucia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"233",233,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Phlogophora meticulosa","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"234",234,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Polia nebulosa","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"235",235,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Spodoptera littoralis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"236",236,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Xestia baja","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"237",237,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Xestia c-nigrum","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"238",238,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Cerura vinula","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"239",239,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Chaonia ruficornis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"240",240,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Phalera bucephala","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"241",241,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Furcula borealis","Viruses","DNA virus","Baculoviridae","Lepidoptera","Notodontidae"
"242",242,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Saturnia pavonia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Saturniidae"
"243",243,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Sphinx pinastri","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"244",244,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Manduca sexta","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"245",245,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Laothoe populi","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"246",246,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Smerinthus ocellata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Sphingidae"
"247",247,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Plutella xylostella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Plutellidae"
"248",248,"Autographa californica NPV (AcMNPV)","1/25/2096","12/13/2000","6 pibs/larva","Larva","Zygaena filipendulae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Zygaenidae"
"249",249,"Agrotis segetum NPV  (AsMNPV)","1/28/2096","2/12/2099","","","Mamestra brassicae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"250",250,"Anticarsia gemmatalis NPV  (AgMNPV)","1/28/2096","12/28/2000","","","Hypena scabra","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"251",251,"Anticarsia gemmatalis NPV  (AgMNPV)","1/28/2096","2/12/2099","","","Spodoptera frugiperda","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"252",252,"Entomophthora virulenta","1/28/2096","2/12/2099","unknown","Nymph","Reticulitermes flavipes","Fungi","Zygomycetes","Entomophthorales","Isoptera","Rhinotermitidae"
"253",253,"Euproctis similis NPV","1/28/2096","2/12/2099","","","Spilosoma subcarnea","Viruses","DNA virus","Baculoviridae","Lepidoptera","Arctiidae"
"254",254,"Euproctis similis NPV","1/28/2096","2/12/2099","","","Bombyx mori","Viruses","DNA virus","Baculoviridae","Lepidoptera","Bombycidae"
"255",255,"Euproctis similis NPV","1/28/2096","2/12/2099","","","Mythimna separata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"256",256,"Euproctis similis NPV","1/28/2096","2/12/2099","","","Galleria mellonella","Viruses","DNA virus","Baculoviridae","Lepidoptera","Pyralidae"
"257",257,"Euproctis similis NPV","1/28/2096","2/12/2099","","","Samia cynthia","Viruses","DNA virus","Baculoviridae","Lepidoptera","Saturniidae"
"258",258,"Mamestra brassicae NPV (MbMNPV)","1/28/2096","12/13/2000","","","Melanchra persicariae","Viruses","DNA virus","Baculoviridae","Lepidoptera","Noctuidae"
"259",259,"Colias eurytheme NPV","1/29/2096","2/12/2099","6 pibs/larva","Larva","Manduca sexta","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Sphingidae"
"260",260,"Celerio euphorbiae NPV","1/29/2096","2/12/2099","6 pibs/larva","Larva","Manduca sexta","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Sphingidae"
"261",261,"Aedes taeniorhynchus IV (RMIV)","3/2/2096","2/12/2099","","","Helicoverpa zea","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Noctuidae"
"262",262,"Aedes taeniorhynchus IV (RMIV)","3/2/2096","2/12/2099","","","Galleria mellonella","Not defined in EDWIP","Not defined in EDWIP","Not defined in EDWIP","Lepidoptera","Pyralidae"
"263",263,"Corethrella brakeleyi IV","3/2/2096","2/12/2099","","Larva","Aedes taeniorhynchus","Viruses","DNA virus","Iridoviridae","Diptera","Culicidae"
"264",264,"Corethrella brakeleyi IV","3/2/2096","2/12/2099","","Larva","Aedes sollicitans","Viruses","DNA virus","Iridoviridae","Diptera","Culicidae"
"265",265,"Corethrella brakeleyi IV","3/2/2096","2/12/2099","","Larva","Psorophora ferox","Viruses","DNA virus","Iridoviridae","Diptera","Culicidae"
"266",266,"Culiseta IV","3/5/2096","2/12/2099","","","Culiseta inornata","Viruses","DNA virus","Iridoviridae","Diptera","Culicidae"
"267",267,"Culiseta IV","3/5/2096","2/12/2099","","","Culiseta melanura","Viruses","DNA virus","Iridoviridae","Diptera","Culicidae"
"268",268,"Culiseta IV","3/5/2096","2/12/2099","","","Culex salinarius","Viruses","DNA virus","Iridoviridae","Diptera","Culicidae"
"269",269,"Culiseta IV","3/5/2096","2/12/2099","","","Culex territans","Viruses","DNA virus","Iridoviridae","Diptera","Culicidae"
"270",270,"Choristoneura fumiferana NPV  (CfMNPV)","5/9/2096","2/12/2099","not available","","Orgyia pseudotsugata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"271",271,"Choristoneura fumiferana GV","5/9/2096","2/12/2099","not available","","Orgyia pseudotsugata","Viruses","DNA virus","Baculoviridae","Lepidoptera","Lymantriidae"
"272",272,"Mattesia trogodermae","6/9/2096","12/13/2000","","","Galleria mellonella","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)","Lepidoptera","Pyralidae"
"273",273,"Mattesia trogodermae","6/12/2096","9/12/2000","","","Agrotis ipsilon","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)","Lepidoptera","Noctuidae"
"274",274,"Mattesia trogodermae","6/12/2096","12/13/2000","","","Apis mellifera","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)","Hymenoptera","Apidae"
"275",275,"Mattesia trogodermae","6/12/2096","12/13/2000","","","Anagasta kuehniella","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)","Lepidoptera","Pyralidae"
"276",276,"Mattesia trogodermae","6/12/2096","12/13/2000","","","Plodia interpunctella ","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)","Lepidoptera","Pyralidae"
"277",277,"Mattesia trogodermae","6/12/2096","12/13/2000","","","Cryptolestes pusillus","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)","Coleoptera","Laemophloeidae"
"278",278,"Nosema algerae","6/12/2096","5/27/2099","","","Psorophora ciliata","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Culicidae"
"279",279,"Nosema algerae","6/12/2096","2/12/2099","","","Toxorhynchites rutilus septentrionalis","Protozoa","Microspora","Microsporea (Microsporida)","Diptera","Culicidae"
"280",280,"Nosema fumiferanae","6/12/2096","2/12/2099","unknown","","Acleris variana","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Tortricidae"
"281",281,"Nosema fumiferanae","6/12/2096","2/12/2099","unknown","","Malacosoma disstria","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Lasiocampidae"
"282",282,"Nosema fumiferanae","6/12/2096","2/12/2099","unknown","","Apanteles fumiferanae","Protozoa","Microspora","Microsporea (Microsporida)","Hymenoptera","Braconidae"
"283",283,"Nosema fumiferanae","6/12/2096","2/12/2099","unknown","","Glypta fumiferanae","Protozoa","Microspora","Microsporea (Microsporida)","Hymenoptera","Ichneumonidae"
"284",284,"Nosema fumiferanae","6/12/2096","2/12/2099","","","Galleria mellonella","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Pyralidae"
"285",285,"Nosema fumiferanae","6/12/2096","2/12/2099","","","Bombyx mori","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Bombycidae"
"286",286,"Nosema fumiferanae","6/12/2096","2/12/2099","","","Hyphantria cunea","Protozoa","Microspora","Microsporea (Microsporida)","Lepidoptera","Arctiidae"
"287",287,"Nosema fumiferanae","6/12/2096","2/12/2099","","","Gryllus assimilis","Protozoa","Microspora","Microsporea (Microsporida)","Orthoptera","Gryllidae"
"288",288,"Nosema gasti","6/12/2096","2/12/2099","","","Conotrachelus nenuphar","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Curculionidae"
"289",289,"Nosema gasti","6/12/2096","2/12/2099","","","Coleomegilla maculata lengi","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Coccinellidae"
"290",290,"Nosema gasti","6/12/2096","2/12/2099","","","Coccinella novemnotata","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Coccinellidae"
"291",291,"Nosema gasti","6/12/2096","2/12/2099","","","Hippodamia convergens","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Coccinellidae"
"292",292,"Nosema gasti","6/12/2096","2/12/2099","","","Chilocorus stigma","Protozoa","Microspora","Microsporea (Microsporida)","Coleoptera","Coccinellidae"
