"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"106","Nectria diploa","Fungi","Pyrenomycetes","Hypocreales",""
"107","Podonectria aurantii","Fungi","Loculoascomycetes","Pleosporales",""
"108","Podonectria coccicola","Fungi","Loculoascomycetes","Pleosporales",""
"109","Podonectria coccorum","Fungi","Loculoascomycetes","Pleosporales",""
"110","Podonectria echinata","Fungi","Loculoascomycetes","Pleosporales",""
"111","Podonectria novaezeylandica","Fungi","Loculoascomycetes","Pleosporales",""
"112","Podonectria tenuispora","Fungi","Loculoascomycetes","Pleosporales",""
"113","Tetracrium aurantii","Fungi","Deuteromycetes","unknown",""
"114","Tetracrium coccicolum","Fungi","Deuteromycetes","unknown",""
"115","Tetracrium echinatum","Fungi","Deuteromycetes","unknown",""
"116","Uredinella coccidophaga","Fungi","Urediniomycetes","Septobasidiales",""
"117","Uredinella spinulosa","Fungi","Urediniomycetes","Septobasidiales",""
"118","Eriothyrium coccicolum","Fungi","Deuteromycetes","unknown",""
"119","Muricularia calva","Fungi","Deuteromycetes","unknown",""
"120","Pyrenochaeta sparsibarba","Fungi","Deuteromycetes","unknown",""
"121","Acremonium furcatum","Fungi","Deuteromycetes","unknown",""
"122","Acremonium roseum","Fungi","Deuteromycetes","unknown",""
"123","Acrodontum crateriforme","Fungi","Deuteromycetes","unknown",""
"124","Akanthomyces gracilis","Fungi","Deuteromycetes","unknown",""
"125","Aphanocladium album","Fungi","Deuteromycetes","unknown",""
"126","Aphanocladium gamsianum","Fungi","Deuteromycetes","unknown",""
"127","Beniowskia  sp. ","Fungi","Deuteromycetes","unknown",""
"128","Calcarisporium ovalisporum","Fungi","Deuteromycetes","unknown",""
"129","Candida  sp.","Fungi","Deuteromycetes","unknown",""
"130","Cladosporium cladosporioides","Fungi","Deuteromycetes","unknown",""
"131","Culicinomyces bisporalis","Fungi","Deuteromycetes","unknown",""
"132","Engyodontium aranearum","Fungi","Deuteromycetes","unknown",""
"133","Fusarium avenaceum","Fungi","Deuteromycetes","unknown",""
"134","Fusarium coccophilum","Fungi","Deuteromycetes","unknown",""
"135","Fusarium juruanum","Fungi","Deuteromycetes","unknown",""
"136","Fusarium larvarum","Fungi","Deuteromycetes","unknown",""
"137","Fusarium lateritium","Fungi","Deuteromycetes","unknown",""
"138","Fusarium merismoides","Fungi","Deuteromycetes","unknown",""
"139","Fusarium moniliforme ","Fungi","Deuteromycetes","unknown",""
"140","Fusarium moniliforme  var. intermedium","Fungi","Deuteromycetes","unknown",""
"141","Fusarium nygamai","Fungi","Deuteromycetes","unknown",""
"142","Fusarium oxysporum","Fungi","Deuteromycetes","unknown",""
"143","Fusarium paeoniae","Fungi","Deuteromycetes","unknown",""
"144","Fusarium polyphialidicum","Fungi","Deuteromycetes","unknown",""
"145","Fusarium sambucinum","Fungi","Deuteromycetes","unknown",""
"146","Fusarium semitectum","Fungi","Deuteromycetes","unknown",""
"147","Fusarium solani","Fungi","Deuteromycetes","unknown",""
"148","Fusarium  sp.","Fungi","Deuteromycetes","unknown",""
"149","Fusarium subglutinans","Fungi","Deuteromycetes","unknown",""
"150","Gibellula clavulifera","Fungi","Deuteromycetes","unknown",""
"151","Haplographium coccorum","Fungi","Deuteromycetes","unknown",""
"152","Hirsutella  besseyi ","Fungi","Deuteromycetes","unknown",""
"153","Hirsutella citriformis","Fungi","Deuteromycetes","unknown",""
"154","Hirsutella entomophila","Fungi","Deuteromycetes","unknown",""
"155","Hirsutella gigantea","Fungi","Deuteromycetes","unknown",""
"156","Hirsutella graptopsaltriae","Fungi","Deuteromycetes","unknown",""
