"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"373","Weiseria  laurenti","Protozoa","Microspora","Microsporea (Microsporida)",""
"374","Weiseria sommermanae","Protozoa","Microspora","Microsporea (Microsporida)",""
"375","Weiseria sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"376","Culicosporella lunata ","Protozoa","Microspora","Microsporea (Microsporida)",""
"377","Culicospora magna","Protozoa","Microspora","Microsporea (Microsporida)",""
"378","Edhazardia aedis ","Protozoa","Microspora","Microsporea (Microsporida)",""
"379","Hazardia milleri ","Protozoa","Microspora","Microsporea (Microsporida)",""
"380","Hirsutusporos austrosimulii ","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  Hirsutosporos or Hirsutusporos?"
"381","Issia trichopterae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"382","Nosema acridophagus","Protozoa","Microspora","Microsporea (Microsporida)",""
"383","Nosema aedis","Protozoa","Microspora","Microsporea (Microsporida)",""
"384","Nosema aeschnae","Protozoa","Microspora","Microsporea (Microsporida)",""
"385","Nosema albimanus","Protozoa","Microspora","Microsporea (Microsporida)",""
"386","Nosema algerae","Protozoa","Microspora","Microsporea (Microsporida)",""
"387","Nosema apis","Protozoa","Microspora","Microsporea (Microsporida)",""
"388","Nosema aporivora","Protozoa","Microspora","Microsporea (Microsporida)",""
"389","Nosema astyrae","Protozoa","Microspora","Microsporea (Microsporida)",""
"390","Nosema auriflammae","Protozoa","Microspora","Microsporea (Microsporida)",""
"391","Nosema baetis","Protozoa","Microspora","Microsporea (Microsporida)",""
"392","Nosema bialoviesianae","Protozoa","Microspora","Microsporea (Microsporida)",""
"393","Nosema bibionis","Protozoa","Microspora","Microsporea (Microsporida)",""
"394","Nosema binucleatum","Protozoa","Microspora","Microsporea (Microsporida)",""
"395","Nosema bombi","Protozoa","Microspora","Microsporea (Microsporida)",""
"396","Nosema bombycis","Protozoa","Microspora","Microsporea (Microsporida)",""
"397","Nosema cacoeciae","Protozoa","Microspora","Microsporea (Microsporida)",""
"398","Nosema cactoblastis","Protozoa","Microspora","Microsporea (Microsporida)",""
"399","Nosema cactorum","Protozoa","Microspora","Microsporea (Microsporida)",""
"400","Nosema campoletidis","Protozoa","Microspora","Microsporea (Microsporida)",""
"401","Nosema cannae","Protozoa","Microspora","Microsporea (Microsporida)",""
"402","Nosema cardiochilis","Protozoa","Microspora","Microsporea (Microsporida)",""
"403","Nosema carpocapsae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"404","Nosema cerasivoranae","Protozoa","Microspora","Microsporea (Microsporida)",""
"405","Nosema cheisini","Protozoa","Microspora","Microsporea (Microsporida)",""
"406","Nosema chironomi","Protozoa","Microspora","Microsporea (Microsporida)",""
"407","Nosema coccinellae","Protozoa","Microspora","Microsporea (Microsporida)",""
"408","Nosema coliadis","Protozoa","Microspora","Microsporea (Microsporida)",""
"409","Nosema cossi","Protozoa","Microspora","Microsporea (Microsporida)",""
"410","Nosema costelytrae","Protozoa","Microspora","Microsporea (Microsporida)","Spelling?  costelytrae or costelythrae?"
"411","Nosema crataeganae","Protozoa","Microspora","Microsporea (Microsporida)",""
"412","Nosema culicis","Protozoa","Microspora","Microsporea (Microsporida)",""
"413","Nosema cuneatum","Protozoa","Microspora","Microsporea (Microsporida)",""
"414","Nosema curvidentis","Protozoa","Microspora","Microsporea (Microsporida)",""
"415","Nosema cynaea","Protozoa","Microspora","Microsporea (Microsporida)",""
"416","Nosema dendroctoni","Protozoa","Microspora","Microsporea (Microsporida)",""
"417","Nosema destructor","Protozoa","Microspora","Microsporea (Microsporida)",""
"418","Nosema disstriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"419","Nosema empoascae","Protozoa","Microspora","Microsporea (Microsporida)",""
"420","Nosema ephialtis","Protozoa","Microspora","Microsporea (Microsporida)",""
"421","Nosema epilachnae","Protozoa","Microspora","Microsporea (Microsporida)",""
"422","Nosema erippi","Protozoa","Microspora","Microsporea (Microsporida)",""
"423","Nosema eubules","Protozoa","Microspora","Microsporea (Microsporida)",""
"424","Nosema fumiferanae","Protozoa","Microspora","Microsporea (Microsporida)",""
"425","Nosema furnacalis","Protozoa","Microspora","Microsporea (Microsporida)",""
"426","Nosema gasti","Protozoa","Microspora","Microsporea (Microsporida)",""
"427","Nosema gibbsi","Protozoa","Microspora","Microsporea (Microsporida)",""
"428","Nosema halesidotidis","Protozoa","Microspora","Microsporea (Microsporida)",""
"429","Nosema heliothidis","Protozoa","Microspora","Microsporea (Microsporida)",""
"430","Nosema hippodamiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"431","Nosema hydraeciae","Protozoa","Microspora","Microsporea (Microsporida)",""
"432","Nosema hydriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"433","Nosema hyperae","Protozoa","Microspora","Microsporea (Microsporida)",""
"434","Nosema infesta","Protozoa","Microspora","Microsporea (Microsporida)",""
"435","Nosema invadens","Protozoa","Microspora","Microsporea (Microsporida)",""
"436","Nosema junonis","Protozoa","Microspora","Microsporea (Microsporida)",""
"437","Nosema kingii","Protozoa","Microspora","Microsporea (Microsporida)",""
"438","Nosema kovacevici","Protozoa","Microspora","Microsporea (Microsporida)",""
"439","Nosema laphygmae","Protozoa","Microspora","Microsporea (Microsporida)",""
"440","Nosema leptinotarsae","Protozoa","Microspora","Microsporea (Microsporida)",""
"441","Nosema leptocoridis","Protozoa","Microspora","Microsporea (Microsporida)",""
"442","Nosema lepturae","Protozoa","Microspora","Microsporea (Microsporida)",""
"443","Nosema locustae","Protozoa","Microspora","Microsporea (Microsporida)",""
"444","Nosema lophocampae","Protozoa","Microspora","Microsporea (Microsporida)",""
"445","Nosema lotmarae","Protozoa","Microspora","Microsporea (Microsporida)",""
"446","Nosema lutzi","Protozoa","Microspora","Microsporea (Microsporida)",""
"447","Nosema lymantriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"448","Nosema lysimniae","Protozoa","Microspora","Microsporea (Microsporida)",""
"449","Nosema melolonthae","Protozoa","Microspora","Microsporea (Microsporida)",""
"450","Nosema murinanae","Protozoa","Microspora","Microsporea (Microsporida)",""
"451","Nosema muscularis","Protozoa","Microspora","Microsporea (Microsporida)",""
"452","Nosema nebulellum","Protozoa","Microspora","Microsporea (Microsporida)",""
"453","Nosema nepae","Protozoa","Microspora","Microsporea (Microsporida)",""
"454","Nosema nonagriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"455","Nosema operophterae  ","Protozoa","Microspora","Microsporea (Microsporida)",""
"456","Nosema oryzaephili","Protozoa","Microspora","Microsporea (Microsporida)",""
"457","Nosema pediculusvestimenti","Protozoa","Microspora","Microsporea (Microsporida)",""
"458","Nosema perezioides","Protozoa","Microspora","Microsporea (Microsporida)",""
"459","Nosema phalerae","Protozoa","Microspora","Microsporea (Microsporida)",""
"460","Nosema phryganidiae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"461","Nosema phyllotretae","Protozoa","Microspora","Microsporea (Microsporida)",""
"462","Nosema pilicornis","Protozoa","Microspora","Microsporea (Microsporida)",""
"463","Nosema polygrammae","Protozoa","Microspora","Microsporea (Microsporida)",""
"464","Nosema polyvora","Protozoa","Microspora","Microsporea (Microsporida)",""
"465","Nosema pulicis","Protozoa","Microspora","Microsporea (Microsporida)",""
"466","Nosema pyrausta","Protozoa","Microspora","Microsporea (Microsporida)",""
"467","Nosema scolyti","Protozoa","Microspora","Microsporea (Microsporida)",""
"468","Nosema scripta","Protozoa","Microspora","Microsporea (Microsporida)",""
"469","Nosema serbica","Protozoa","Microspora","Microsporea (Microsporida)",""
"470","Nosema sesiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"471","Nosema sphaeromiadis","Protozoa","Microspora","Microsporea (Microsporida)",""
"472","Nosema sphingidis","Protozoa","Microspora","Microsporea (Microsporida)",""
"473","Nosema stegomyiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"474","Nosema strictum","Protozoa","Microspora","Microsporea (Microsporida)",""
"475","Nosema takapauensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"476","Nosema tatrica","Protozoa","Microspora","Microsporea (Microsporida)",""
"477","Nosema thomsoni ","Protozoa","Microspora","Microsporea (Microsporida)",""
"478","Nosema tortricis","Protozoa","Microspora","Microsporea (Microsporida)",""
"479","Nosema trichoplusiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"480","Nosema typographi","Protozoa","Microspora","Microsporea (Microsporida)",""
"481","Nosema vanillae","Protozoa","Microspora","Microsporea (Microsporida)",""
"482","Nosema varivestis","Protozoa","Microspora","Microsporea (Microsporida)",""
"483","Nosema veliae","Protozoa","Microspora","Microsporea (Microsporida)",""
"484","Nosema weiseri","Protozoa","Microspora","Microsporea (Microsporida)",""
"485","Nosema whitei","Protozoa","Microspora","Microsporea (Microsporida)",""
"486","Nosema zavreli","Protozoa","Microspora","Microsporea (Microsporida)",""
"487","Nosema zwoelferi","Protozoa","Microspora","Microsporea (Microsporida)",""
"488","Ovavesicula popilliae","Protozoa","Microspora","Microsporea (Microsporida)",""
"489","Endoreticulatus fidelis","Protozoa","Microspora","Microsporea (Microsporida)",""
"490","Pleistophora blattae","Protozoa","Microspora","Microsporea (Microsporida)",""
"491","Pleistophora caecorum","Protozoa","Microspora","Microsporea (Microsporida)",""
"492","Pleistophora californica","Protozoa","Microspora","Microsporea (Microsporida)",""
"493","Pleistophora carpocapsae","Protozoa","Microspora","Microsporea (Microsporida)",""
"494","Pleistophora centroptili","Protozoa","Microspora","Microsporea (Microsporida)",""
"495","Pleistophora collessi","Protozoa","Microspora","Microsporea (Microsporida)",""
"496","Pleistophora culicis","Protozoa","Microspora","Microsporea (Microsporida)",""
"497","Pleistophora dixipi","Protozoa","Microspora","Microsporea (Microsporida)",""
"498","Pleistophora enterobia","Protozoa","Microspora","Microsporea (Microsporida)",""
"499","Pleistophora geotrupina","Protozoa","Microspora","Microsporea (Microsporida)",""
"500","Pleistophora jiroveci","Protozoa","Microspora","Microsporea (Microsporida)",""
"501","Pleistophora kudoi","Protozoa","Microspora","Microsporea (Microsporida)",""
"502","Pleistophora leasei","Protozoa","Microspora","Microsporea (Microsporida)",""
"503","Pleistophora legeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"504","Pleistophora lutzi","Protozoa","Microspora","Microsporea (Microsporida)",""
"505","Pleistophora milesi","Protozoa","Microspora","Microsporea (Microsporida)",""
"506","Pleistophora mochlonicis","Protozoa","Microspora","Microsporea (Microsporida)",""
"507","Pleistophora multispora","Protozoa","Microspora","Microsporea (Microsporida)",""
"508","Pleistophora neustriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"509","Pleistophora operophterae","Protozoa","Microspora","Microsporea (Microsporida)",""
"510","Pleistophora ovalis","Protozoa","Microspora","Microsporea (Microsporida)",""
"511","Pleistophora plectopterae","Protozoa","Microspora","Microsporea (Microsporida)",""
"512","Pleistophora reciprocaria","Protozoa","Microspora","Microsporea (Microsporida)",""
"513","Pleistophora schubergi aporiae","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"514","Pleistophora schubergi balbianii","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"515","Pleistophora schubergi fumiferanae","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"516","Pleistophora schubergi hyphantriae","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"517","Pleistophora schubergi noctuidae","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"518","Pleistophora schubergi pandemis","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"519","Pleistophora schubergi schubergi","Protozoa","Microspora","Microsporea (Microsporida)","Update name to Endoreticulatus schubergi as renamed by Cali, A.; and El-Garhy, M.  1991 (EDWIP ref # 1881)?"
"520","Pleistophora simulii","Protozoa","Microspora","Microsporea (Microsporida)",""
"521","Pleistophora sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"522","Pleistophora tanzaniae","Protozoa","Microspora","Microsporea (Microsporida)",""
"523","Pleistophora thienemanni","Protozoa","Microspora","Microsporea (Microsporida)",""
"524","Pleistophora tillingbournei","Protozoa","Microspora","Microsporea (Microsporida)",""
"525","Pleistophora vayssierei","Protozoa","Microspora","Microsporea (Microsporida)",""
"526","Pleistophora waltairensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"527","Vavraia culicis","Protozoa","Microspora","Microsporea (Microsporida)",""
"528","Vavraia oncoperae","Protozoa","Microspora","Microsporea (Microsporida)",""
"529","Tuzetia entericola","Protozoa","Microspora","Microsporea (Microsporida)",""
"530","Tuzetia lipotropha","Protozoa","Microspora","Microsporea (Microsporida)",""
"531","Oligosporidium arachnicolum ","Protozoa","Microspora","Microsporea (Microsporida)",""
"532","Orthosomella operophterae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"533","Amblyospora benigna","Protozoa","Microspora","Microsporea (Microsporida)",""
"534","Amblyospora bicortex","Protozoa","Microspora","Microsporea (Microsporida)",""
"535","Amblyospora bolinasae","Protozoa","Microspora","Microsporea (Microsporida)",""
"536","Amblyospora bracteata","Protozoa","Microspora","Microsporea (Microsporida)",""
"537","Amblyospora californica","Protozoa","Microspora","Microsporea (Microsporida)",""
"538","Amblyospora callosa","Protozoa","Microspora","Microsporea (Microsporida)",""
"539","Amblyospora campbelli","Protozoa","Microspora","Microsporea (Microsporida)",""
"540","Amblyospora canadensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"541","Amblyospora connecticus","Protozoa","Microspora","Microsporea (Microsporida)",""
"542","Amblyospora gigantea","Protozoa","Microspora","Microsporea (Microsporida)",""
"543","Amblyospora inimica","Protozoa","Microspora","Microsporea (Microsporida)",""
"544","Amblyospora keenani","Protozoa","Microspora","Microsporea (Microsporida)",""
"545","Amblyospora khaliulini","Protozoa","Microspora","Microsporea (Microsporida)",""
"546","Amblyospora lairdi","Protozoa","Microspora","Microsporea (Microsporida)",""
"547","Amblyospora minuta","Protozoa","Microspora","Microsporea (Microsporida)",""
"548","Amblyospora noxia","Protozoa","Microspora","Microsporea (Microsporida)",""
"549","Amblyospora opacita","Protozoa","Microspora","Microsporea (Microsporida)",""
"550","Amblyospora sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"551","Amblyospora unica","Protozoa","Microspora","Microsporea (Microsporida)",""
"552","Parathelohania legeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"553","Tricornia muhezae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"554","Burenella dimorpha","Protozoa","Microspora","Microsporea (Microsporida)",""
"555","Evlachovaia chironomi ","Protozoa","Microspora","Microsporea (Microsporida)",""
"556","Pilosporella chapmani","Protozoa","Microspora","Microsporea (Microsporida)",""
"557","Pilosporella fishii","Protozoa","Microspora","Microsporea (Microsporida)",""
"558","Vairimorpha bulgaria","Protozoa","Microspora","Microsporea (Microsporida)",""
"559","Vairimorpha heterosporum","Protozoa","Microspora","Microsporea (Microsporida)",""
"560","Vairimorpha lymantriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"561","Vairimorpha necatrix","Protozoa","Microspora","Microsporea (Microsporida)",""
"562","Vairimorpha plodiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"563","Vairimorpha  sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"564","Cylindrospora chironomi ","Protozoa","Microspora","Microsporea (Microsporida)",""
"565","Duboscqia legeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"566","Mitoplistophora angularis","Protozoa","Microspora","Microsporea (Microsporida)",""
"567","Pegmatheca simulii","Protozoa","Microspora","Microsporea (Microsporida)",""
"568","Polydispyrenia simulii ","Protozoa","Microspora","Microsporea (Microsporida)",""
"569","Trichoduboscqia epeori","Protozoa","Microspora","Microsporea (Microsporida)",""
"570","Duboscqia chironomi ","Protozoa","Microspora","Microsporea (Microsporida)",""
"571","Duboscqia coptotermi","Protozoa","Microspora","Microsporea (Microsporida)",""
"572","Janacekia debaisieuxi ","Protozoa","Microspora","Microsporea (Microsporida)",""
"573","Helmichia aggregata ","Protozoa","Microspora","Microsporea (Microsporida)",""
"574","Striatospora chironomi ","Protozoa","Microspora","Microsporea (Microsporida)",""
"575","Bohuslavia asterias","Protozoa","Microspora","Microsporea (Microsporida)",""
"576","Chapmanium cirritus","Protozoa","Microspora","Microsporea (Microsporida)",""
"577","Chapmanium nepae","Protozoa","Microspora","Microsporea (Microsporida)",""
"578","Cryptosporina brachyfila","Protozoa","Microspora","Microsporea (Microsporida)",""
"579","Hyalinocysta chapmani","Protozoa","Microspora","Microsporea (Microsporida)","Verify genus.  This genus was downgraded by Kilochitsky (ref 1855) to subgenus of Amblyospora.  "
"580","Hyalinocysta sp.","Protozoa","Microspora","Microsporea (Microsporida)","Verify genus.  This genus was downgraded by Kilochitsky (ref 1855) to subgenus of Amblyospora.  "
"581","Napamichum dispersus ","Protozoa","Microspora","Microsporea (Microsporida)",""
"582","Neoperezia chironomi ","Protozoa","Microspora","Microsporea (Microsporida)",""
"583","Nudispora biformis  ","Protozoa","Microspora","Microsporea (Microsporida)",""
"584","Parathelohania africana","Protozoa","Microspora","Microsporea (Microsporida)",""
"585","Parathelohania anomala","Protozoa","Microspora","Microsporea (Microsporida)",""
"586","Parathelohania barra","Protozoa","Microspora","Microsporea (Microsporida)",""
"587","Parathelohania illinoisensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"588","Parathelohania indica","Protozoa","Microspora","Microsporea (Microsporida)",""
"589","Parathelohania obesa","Protozoa","Microspora","Microsporea (Microsporida)",""
"590","Parathelohania obscura","Protozoa","Microspora","Microsporea (Microsporida)",""
"591","Parathelohania periculosa","Protozoa","Microspora","Microsporea (Microsporida)",""
"592","Parathelohania sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"593","Resiomeria odonatae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"594","Spherospora andinae ","Protozoa","Microspora","Microsporea (Microsporida)","Verify class.   Spelling?  Genus not in Corliss, not in Tanada & Kaya.  There is a Sphaerospora in Corliss (in Phylum Myxozoa, Class Myxosporea)"
"595","Spiroglugea octospora ","Protozoa","Microspora","Microsporea (Microsporida)",""
"596","Systenostrema tabani","Protozoa","Microspora","Microsporea (Microsporida)",""
"597","Thelohania argyresthiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"598","Thelohania asterias","Protozoa","Microspora","Microsporea (Microsporida)",""
"599","Thelohania avacuolata","Protozoa","Microspora","Microsporea (Microsporida)",""
"600","Thelohania baetica","Protozoa","Microspora","Microsporea (Microsporida)",""
"601","Thelohania bertrami","Protozoa","Microspora","Microsporea (Microsporida)",""
"602","Thelohania breindli","Protozoa","Microspora","Microsporea (Microsporida)",""
"603","Thelohania canningae","Protozoa","Microspora","Microsporea (Microsporida)",""
"604","Thelohania cepedei","Protozoa","Microspora","Microsporea (Microsporida)",""
"605","Thelohania cheimatobiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"606","Thelohania columbaczense","Protozoa","Microspora","Microsporea (Microsporida)",""
"607","Thelohania dasychirae","Protozoa","Microspora","Microsporea (Microsporida)",""
"608","Thelohania disparis","Protozoa","Microspora","Microsporea (Microsporida)",""
"609","Thelohania fibrata","Protozoa","Microspora","Microsporea (Microsporida)",""
"610","Thelohania grassii","Protozoa","Microspora","Microsporea (Microsporida)",""
"611","Thelohania hessei","Protozoa","Microspora","Microsporea (Microsporida)",""
"612","Thelohania janus","Protozoa","Microspora","Microsporea (Microsporida)",""
"613","Thelohania minispora","Protozoa","Microspora","Microsporea (Microsporida)",""
"614","Thelohania ovata","Protozoa","Microspora","Microsporea (Microsporida)",""
"615","Thelohania pinguis","Protozoa","Microspora","Microsporea (Microsporida)",""
"616","Thelohania plectrocnemiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"617","Thelohania rhithrogenae","Protozoa","Microspora","Microsporea (Microsporida)",""
"618","Thelohania similis","Protozoa","Microspora","Microsporea (Microsporida)",""
"619","Thelohania simulii","Protozoa","Microspora","Microsporea (Microsporida)",""
"620","Thelohania sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"621","Thelohania tipulae","Protozoa","Microspora","Microsporea (Microsporida)",""
"622","Thelohania vanessae","Protozoa","Microspora","Microsporea (Microsporida)",""
"623","Thelohania varians","Protozoa","Microspora","Microsporea (Microsporida)",""
"624","Thelohania weiseri","Protozoa","Microspora","Microsporea (Microsporida)",""
"625","Thelohania wurmi","Protozoa","Microspora","Microsporea (Microsporida)",""
"626","Toxoglugea bacilliformis","Protozoa","Microspora","Microsporea (Microsporida)",""
"627","Toxoglugea calliphorae","Protozoa","Microspora","Microsporea (Microsporida)",""
"628","Toxoglugea chironomi","Protozoa","Microspora","Microsporea (Microsporida)",""
"629","Toxoglugea chloroperlae","Protozoa","Microspora","Microsporea (Microsporida)",""
"630","Toxoglugea fanthami","Protozoa","Microspora","Microsporea (Microsporida)",""
"631","Toxoglugea gerridis","Protozoa","Microspora","Microsporea (Microsporida)",""
"632","Toxoglugea mercieri","Protozoa","Microspora","Microsporea (Microsporida)",""
"633","Toxoglugea octospora","Protozoa","Microspora","Microsporea (Microsporida)",""
"634","Toxoglugea porterae","Protozoa","Microspora","Microsporea (Microsporida)",""
"635","Toxoglugea tetraspora","Protozoa","Microspora","Microsporea (Microsporida)",""
"636","Toxoglugea vibrio","Protozoa","Microspora","Microsporea (Microsporida)",""
"637","Farinocystis  sp.","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"638","Helicosporidium  sp.","Fungi","","","Tanada & Kaya (p. 414) refer to these as ‘helicosporidia’ and says they have been considered both protozoa and fungi.  Corliss (1994) p. 20, puts the genus in the fungi."
"639","Adelina melolonthae","Protozoa","Apicomplexa","Coccidea (Adeleida)",""
"640","Adelina sericesthis","Protozoa","Apicomplexa","Coccidea (Adeleida)",""
"641","Adelina tenebrionis","Protozoa","Apicomplexa","Coccidea (Adeleida)",""
"642","Klossia aphodii","Protozoa","Apicomplexa","Coccidea (Eucoccidiorida)",""
"643","Actinocephalus sp.","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"644","Didymophes paradoxa","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"645","Didymophes sisyphi","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"646","Euspora fallax","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"647","Euspora zealandica ","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"648","Pseudomonocystis hopliae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)","Spelling?  Possibly Pseudomonicystis?   "
"649","Stictospora costelytrae","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"650","Stictospora kurdistana","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"651","Stictospora provincialis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"652","Monocystis  sp.","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"653","Ascogregarina culicis","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"654","Gregarina katherina","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"655","Ophryocystis oryctesi","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"656","Mattesia dispora","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"657","Mattesia grandis","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"658","Mattesia sp.","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"659","Mattesia trogodermae","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"660","Rasajeyna nannyla","Protozoa","Apicomplexa","Coccidea (Eucoccidiorida)",""
"661","Adelina  sp.","Protozoa","Apicomplexa","Coccidea (Adeleida)",""
"662","Adelina tribolii","Protozoa","Apicomplexa","Coccidea (Adeleida)",""
"663","Cometoides pechumani","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"664","Pyxinia  sp.","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"665","Gregarina garnhami","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"666","Malameba locustae","Protozoa","Rhizopoda","Lobosea (Amoebida)","Genus not in Corliss, 1994.  Placement from Tanada & Kaya."
"667","Leptomonas sp.","Protozoa","Euglenozoa","Kinetoplastidea (Trypanosomatida)",""
"668","Leptomonas pyraustae","Protozoa","Euglenozoa","Kinetoplastidea (Trypanosomatida)",""
"669","Blastocrithidia caliroae","Protozoa","Euglenozoa","Kinetoplastidea (Trypanosomatida)",""
"670","Herpetomonas chatoni","Protozoa","Euglenozoa","Kinetoplastidea (Trypanosomatida)",""
"671","Herpetomonas swainei","Protozoa","Euglenozoa","Kinetoplastidea (Trypanosomatida)",""
"672","Beauveria bassiana","Fungi","Deuteromycetes","unknown",""
"673","Thelohania californica","Protozoa","Microspora","Microsporea (Microsporida)",""
"674","Nosema lunatum","Protozoa","Microspora","Microsporea (Microsporida)",""
"675","Nosema chapmani","Protozoa","Microspora","Microsporea (Microsporida)",""
"676","Entomophthora coronata","Fungi","Zygomycetes","Entomophthorales",""
"677","Thelohania inimica","Protozoa","Microspora","Microsporea (Microsporida)",""
"678","Nosema tracheophilum","Protozoa","Microspora","Microsporea (Microsporida)",""
"679","Gurleya sokolovi","Protozoa","Microspora","Microsporea (Microsporida)",""
"680","Aspergillus fumigatus","Fungi","Deuteromycetes","unknown",""
"681","Entomophthora exitialis","Fungi","Zygomycetes","Entomophthorales",""
"682","Entomophthora fresenii","Fungi","Zygomycetes","Entomophthorales",""
"683","Entomophthora virulenta","Fungi","Zygomycetes","Entomophthorales",""
"684","Entomophthora grylli","Fungi","Zygomycetes","Entomophthorales","Are Entomophaga and Entomophthora grylli synonyms?  "
"685","Entomophthora aphidis","Fungi","Zygomycetes","Entomophthorales",""
"686","Entomophthora thaxteriana","Fungi","Zygomycetes","Entomophthorales",""
"687","Entomophthora planchoniana","Fungi","Zygomycetes","Entomophthorales",""
"688","Pleistophora chapmani","Protozoa","Microspora","Microsporea (Microsporida)",""
"689","Rickettsiella chironomi","Bacteria","Rickettsiales","Chlamydiaceae",""
"690","Herpetomonas muscarum","Protozoa","Euglenozoa","Kinetoplastidea (Trypanosomatida)",""
"691","Coelomomyces psorophorae","Fungi","Chytridiomycetes","Blastocladiales",""
"692","Entomophthora aquatica","Fungi","Zygomycetes","Entomophthorales",""
"693","Coelomomyces opifexi","Fungi","Chytridiomycetes","Blastocladiales","Probably should now be C. psorophorae var. tasmiensis, according to Couch and Bland, ref 2039; however, they listed several associations for C. opifexi in their table IV?"
"694","Ophryocystis dendroctoni","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"695","Chytridiopsis typographi","Protozoa","Microspora","Microsporea (Minisporida)",""
"696","Lankesteria mackiei","Protozoa","Apicomplexa","Gregarinidea (Neogregarinida)",""
"697","Gregarina hylobii","Protozoa","Apicomplexa","Gregarinidea (Eugregarinida)",""
"698","Babesia bigemina","Protozoa","Apicomplexa","Haematozoea (Piroplasmida)",""
"699","Hirsutella tydeicola","Fungi","Deuteromycetes","Unknown",""
