"","ERNnem","Host","Nematode","NemaOrder","NemaFamily","NemaStrain","StageInfected","TissueInfected","FieldOrLab","Country","SoilType","AssociatedBacterium","IntermediateHost","CreationDate","ModificationDate","Group"
"36",63,"Amphimallon solstitialis","Steinernema feltiae","Rhabditida","Steinernematidae","georgica (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"37",64,"Melolontha afflicta","Steinernema feltiae","Rhabditida","Steinernematidae","bothynoderi (syn.)","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"38",65,"Onitis alexis","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"39",66,"Pentodon algerinum","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"40",67,"Capnodis tenebrionis","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Spain","loamy sand / orchards","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"41",68,"Graphognathus leucoloma","Steinernema feltiae","Rhabditida","Steinernematidae","N60","Larva","Hemocoel","Field","New Zealand","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"42",69,"Otiorhynchus sulcatus","Steinernema feltiae","Rhabditida","Steinernematidae","T335","Larva","Hemocoel","Field","Tazmania","","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"43",70,"Otiorhynchus ovatus","Steinernema feltiae","Rhabditida","Steinernematidae","SFS8","Larva","Hemocoel","Field","Finland","loamy sand / strawberries","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"44",71,"Otiorhynchus dubius","Steinernema feltiae","Rhabditida","Steinernematidae","SFS8","Larva","Hemocoel","Field","Finland","loamy sand / berries","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"45",72,"Phyllobius urticae","Steinernema feltiae","Rhabditida","Steinernematidae","Kle 3","Larva","Hemocoel","Field","Germany","loamy sand / strawberries","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"46",73,"Bothynoderis punctiventris","Steinernema feltiae","Rhabditida","Steinernematidae","bothynoderi (syn.)","Larva","Hemocoel","Field","","farmed land (sugarbeet?)","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"47",74,"Temnorrrhinus mendicus","Steinernema feltiae","Rhabditida","Steinernematidae","menozzi (syn.)","Larva","Hemocoel","Field","Italy","public green (sugarbeet)","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"48",12,"Hylobius abietis","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Adult","Hemocoel","Field","Czech Republic","coniferous forest","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"49",75,"Bibio hortulana","Steinernema feltiae","Rhabditida","Steinernematidae","bibionis (syn.)","Larva","Hemocoel","Field","Denmark","pasture","Xenorhabdus bovienii","none","5/14/2097","12/28/2000","Nematode"
"50",76,"Bibio ferruginatus","Steinernema feltiae","Rhabditida","Steinernematidae","bibionis (syn.)","Larva","Hemocoel","Field","Denmark","pasture","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"51",77,"Bibio fulviventris","Steinernema feltiae","Rhabditida","Steinernematidae","bibionis (syn.)","Larva","Hemocoel","Field","Germany","litter / coniferous forest, deciduous forest","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"52",78,"Bibio laniger","Steinernema feltiae","Rhabditida","Steinernematidae","bibionis (syn.)","Larva","Hemocoel","Field","Germany","litter / coniferous forest, deciduous forest","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"53",79,"Bibio varipes","Steinernema feltiae","Rhabditida","Steinernematidae","bibionis (syn.)","Larva","Hemocoel","Field","Germany","litter / coniferous & deciduous forest","Xenorhabdus bovienii","none","5/14/2097","2/12/2099","Nematode"
"54",80,"Helicoverpa armigera","Steinernema feltiae","Rhabditida","Steinernematidae","Pinnock","Larva","Hemocoel","Field","Australia","","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"55",81,"Crambus simplex","Steinernema feltiae","Rhabditida","Steinernematidae","leucaniae (syn.)","Larva","Hemocoel","Field","New Zealand","orchards (tussock base)","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"56",231,"Leucania acontistis","Steinernema feltiae","Rhabditida","Steinernematidae","leucaniae (syn.)","Pupa","Hemocoel","Field","New Zealand"," orchards (tussock base)","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"57",82,"Agrotis ipsilon","Steinernema feltiae","Rhabditida","Steinernematidae","CA","Larva","Hemocoel","Field","New Zealand, Spain","clay loam / home gardens, maize","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"58",83,"Agrotis segetum","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained ","Larva","Hemocoel","Field","Spain","clay loam / maize","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
"59",84,"Agrotinae sp.","Steinernema feltiae","Rhabditida","Steinernematidae","not maintained","Larva","Hemocoel","Field","Russia","loamy sand / pasture","Xenorhabdus bovienii","none","5/26/2097","2/12/2099","Nematode"
