"RefCode","Citation","ERNv","HostSpecies","PathogenSpecies","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",1350,"Aedes taeniorhynchus","Aedes taeniorhynchus IV (Blue-Green)",329105,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",46,"Aedes taeniorhynchus","CPV",329105,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",47,"Aedes taeniorhynchus","NPV",329105,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",48,"Aedes tormentor","NPV",1379453,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",49,"Aedes triseriatus","NPV",7162,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",50,"Aedes triseriatus","CPV",7162,"Ochlerotatus","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",51,"Aedes vexans","IV",7163,"Aedes","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
25,"Martignoni, M.E., and Iwai, P.J., 1986. A Catalogue of Viral Diseases of insects, Mites, and Ticks. USDA Forest Service, Pacific Northwest Research Station, Portland, OR, General Technical Report PNW-195, 4th edition,51 pp.",52,"Aedes vexans","DNV",7163,"Aedes","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",53,"Anopheles albimanus","IV",7167,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
25,"Martignoni, M.E., and Iwai, P.J., 1986. A Catalogue of Viral Diseases of insects, Mites, and Ticks. USDA Forest Service, Pacific Northwest Research Station, Portland, OR, General Technical Report PNW-195, 4th edition,51 pp.",54,"Anopheles bradleyi","CPV",49917,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",55,"Anopheles crucians","CPV",869064,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",56,"Anopheles crucians","NPV",869064,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",57,"Anopheles freeborni","CPV",7170,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",58,"Anopheles quadrimaculatus","CPV",7166,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",59,"Anopheles quadrimaculatus","IV",7166,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",60,"Anopheles stephensi","CPV",30069,"Anopheles","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",61,"Culex erraticus","CPV",42427,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",62,"Culex peccator","CPV",1085691,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",63,"Culex peccator","IV",1085691,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",64,"Culex pipiens","CPV",7175,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",65,"Culex quinquefasciatus","NPV",7176,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",66,"Culex restuans","CPV",38742,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",67,"Culex salinarius","CPV",38743,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",68,"Culex salinarius","NPV",38743,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",69,"Culex salinarius","IV",38743,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",70,"Culex tarsalis","CPV",7177,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",71,"Culex territans","CPV",42431,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
24,"Martignoni, M.E. and Iwai, P.J.  A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980.  London:  Academic Press, 1981. 949 pp.",72,"Culex territans","Culex territans IV",42431,"Culex","Culicidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
