ERNnem,refCode,Reference,Host,Nematode
70,1254,"Vainio, A. and Hokkanen, H.M.T., 1993.  The potential of entomopahtogenic fungi and nematodes against Otiorhynchus ovatus L. and O. dubius Strom. (Col: Curculionidae) in the field.  Journal of Applied Entomology 115:379-387.",Otiorhynchus ovatus,Steinernema feltiae
71,1254,"Vainio, A. and Hokkanen, H.M.T., 1993.  The potential of entomopahtogenic fungi and nematodes against Otiorhynchus ovatus L. and O. dubius Strom. (Col: Curculionidae) in the field.  Journal of Applied Entomology 115:379-387.",Otiorhynchus dubius,Steinernema feltiae
72,1255,"Pollitt, S., Peters, A. and Ehlers, R.-U., 1994.  Control potential of a naturally occurring Steinernema feltiae population.  IOBC/WPRS Bulletin 17: 144-147.",Phyllobius urticae,Steinernema feltiae
73,1239,"Poinar, G. O., Jr., 1979. Nematodes for Biological Control of Insects. CRC Press, Boca Raton, FL.",Bothynoderis punctiventris,Steinernema feltiae
74,1287,"Travassos, L., 1932.  Una specie del genere Neoaplectana Steiner (Nematoda-Oxyuridae) parasita del Conorrhynchus (Cleonus) mendicus Gyll. (Coleoptera-Curculionidae). Boll. Labor. Zool. Agraria Portici 26: 115-118. (in Spanish)",Temnorrrhinus mendicus,Steinernema feltiae
12,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Hylobius abietis,Steinernema feltiae
75,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114",Bibio hortulana,Steinernema feltiae
76,1235,"Bovien, P., 1937. Some types of association between nematodes and insects. Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening 101:1-114",Bibio ferruginatus,Steinernema feltiae
77,1304,"Stammer, H. J., 1953.  Die parasiten der Bibioniden. Proc. XIV Int. Congr. Zool. Copenhagen.  pp. 349-358.",Bibio fulviventris,Steinernema feltiae
78,1304,"Stammer, H. J., 1953.  Die parasiten der Bibioniden. Proc. XIV Int. Congr. Zool. Copenhagen.  pp. 349-358.",Bibio laniger,Steinernema feltiae
79,1304,"Stammer, H. J., 1953.  Die parasiten der Bibioniden. Proc. XIV Int. Congr. Zool. Copenhagen.  pp. 349-358.",Bibio varipes,Steinernema feltiae
80,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Helicoverpa armigera,Steinernema feltiae
81,1256,"Hoy, J. M., 1954.  The biology and host range of Neoaplectana leucaniae, a new species of insect-parasite nematode.  Parasitology 44: 392-399.",Crambus simplex,Steinernema feltiae
231,1256,"Hoy, J. M., 1954.  The biology and host range of Neoaplectana leucaniae, a new species of insect-parasite nematode.  Parasitology 44: 392-399.",Leucania acontistis,Steinernema feltiae
82,1257,"Wright, P. J. and Jackson, T. A., 1988.  Low temperature activity and infectivity of a parasitic nematode against porina and grass grub larvae, in  Proceedings of the Forty-first New Zealand Weed and Pest Control Conference. pp. 138-140.",Agrotis ipsilon,Steinernema feltiae
83,1258,"Turco, C. P., Thames, W. H., Jr and Hopkins, S. H., 1971.  On the taxonomic status and comparative morphology of species of the genus Neoaplectana Steiner (Neoaplectanidae: Nematoda).  Proceedings of the Helminthological Society of Washington 38: 68-79.",Agrotis segetum,Steinernema feltiae
