"","HostOriginal","HostTaxID","HostNCBIResolved","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathNCBIResolved","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom","Group","HighTaxon","Host","HostStageTested","HostTissueInfected","interaction","LogMaxDose","LowTaxon","Pathogen","insectStatus"
"4821","Vanessa carye","1051357",TRUE,"Vanessa","Nymphalidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Vanessa carye","","Fat body, malpighian tubules, and most other tissues.",1,NA,"Microsporea (Microsporida)","Pleistophora californica",NA
"4822","Leucoma salicis","688415",TRUE,"Leucoma","Erebidae","Lepidoptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Leucoma salicis","","fat body",1,NA,"Microsporea (Microsporida)","Thelohania similis","Pest"
"4823","Bibio clavipes",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Bibio clavipes","","Intestinal caeca",1,NA,"Microsporea (Microsporida)","Pleistophora enterobia",NA
"4824","Aedes aegypti","7159",TRUE,"Aedes","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Aedes aegypti","","",1,NA,"Microsporea (Microsporida)","Nosema eurytremae","Pest"
"4825","Aedes albopictus","7160",TRUE,"Aedes","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Aedes albopictus","","",1,NA,"Microsporea (Microsporida)","Nosema eurytremae","Pest"
"4826","Aedes togoi","55967",TRUE,"Aedes","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Aedes togoi","","",1,NA,"Microsporea (Microsporida)","Nosema eurytremae",NA
"4827","Aedes aegypti","7159",TRUE,"Aedes","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Aedes aegypti","","fat body",1,NA,"Microsporea (Microsporida)","Microsporidium aedis","Pest"
"4828","Aedes notoscriptus","508665",TRUE,"Aedes","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Aedes notoscriptus","Larva","fat body, head capsule",1,NA,"Microsporea (Microsporida)","Pleistophora milesi","Pest"
"4829","Anopheles annularis","59163",TRUE,"Anopheles","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Anopheles annularis","Larva","fat body",1,NA,"Microsporea (Microsporida)","Parathelohania sp.","Pest"
"4830","Anopheles nili","185578",TRUE,"Anopheles","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Anopheles nili","LarvaAdult","fat body, Oenocytes, Ovaries",1,NA,"Microsporea (Microsporida)","Parathelohania sp.",NA
"4831","Culex quinquefasciatus","7176",TRUE,"Culex","Culicidae","Diptera","Insecta",NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Culex quinquefasciatus","","Gut; fat body; gonads; connective tissue; most other organs.",1,NA,"Microsporea (Microsporida)","Pleistophora culicis","Pest"
"4832","Culex nigripalpus","42429",TRUE,"Culex","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Culex nigripalpus","Larva","Gut",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Pest"
"4833","Culex restuans","38742",TRUE,"Culex","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Culex restuans","Larva","Gastric caeca, midgut",1,NA,"Microsporea (Microsporida)","Pleistophora sp.",NA
"4834","Culex salinarius","38743",TRUE,"Culex","Culicidae","Diptera","Insecta","191605",TRUE,"Hazardia","Gurleyidae",NA,NA,"Fungi","Protozoa","Microspora","Culex salinarius","","hemocytes, fat body",1,NA,"Microsporea (Microsporida)","Hazardia milleri","Pest"
"4835","Culex tarsalis","7177",TRUE,"Culex","Culicidae","Diptera","Insecta","191605",TRUE,"Hazardia","Gurleyidae",NA,NA,"Fungi","Protozoa","Microspora","Culex tarsalis","","hemocytes, fat body",1,NA,"Microsporea (Microsporida)","Hazardia milleri","Pest"
"4836","Culex territans","42431",TRUE,"Culex","Culicidae","Diptera","Insecta","191605",TRUE,"Hazardia","Gurleyidae",NA,NA,"Fungi","Protozoa","Microspora","Culex territans","","hemocytes, fat body",1,NA,"Microsporea (Microsporida)","Hazardia milleri","Pest"
"4837","Psorophora ciliata","329106",TRUE,"Psorophora","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Psorophora ciliata","Larva","fat body; Gastric caeca",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Pest"
"4838","Uranotaenia sapphirina","139056",TRUE,"Uranotaenia","Culicidae","Diptera","Insecta","35234",TRUE,"Pleistophora","Pleistophoridae",NA,NA,"Fungi","Protozoa","Microspora","Uranotaenia sapphirina","Larva","fat body",1,NA,"Microsporea (Microsporida)","Pleistophora sp.","Wildlife"
"4839","Ablabechnia lentiginosa",NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"Protozoa","Microspora","Ablabechnia lentiginosa","","fat body",1,NA,"Microsporea (Microsporida)","Nosema cheisini",NA
