RefCode,ERNntr,HostSpecies,PathogenSpecies,Citation,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,PathTaxID,PathGenus,PathFamily,PathOrder,PathClass,PathKingdom
29,25,Ostrinia nubilalis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",29057,Ostrinia,Crambidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,26,Campaea perlata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",82598,Campaea,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,27,Nemoria mimosaria,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214270,Nemoria,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,28,Orthonama obstipata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214290,Orthonama,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,29,Horisme intestinata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",687098,Horisme,Geometridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,30,Hyles gallii,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",283843,Hyles,Sphingidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,31,Estigmene acrea,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",56594,Estigmene,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,32,Spilosoma congrua,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214367,Spilosoma,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,33,Spilosoma virginica,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214366,Spilosoma,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,34,Spilosoma virginica,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214366,Spilosoma,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,35,Dasychira pinicola,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",1496463,Dasychira,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,36,Orgyia leucostigma,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",95259,Orgyia,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,37,Orgyia pseudotsugata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",33414,Orgyia,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,38,Zanclognatha pedipilalis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",689289,Zanclognatha,Erebidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,39,Autographa precationis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",319802,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,40,Autographa flagellum,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",689065,Autographa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,41,Anagrapha falcifera,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",56368,Anagrapha,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,42,Acronicta impleta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",688469,Acronicta,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,43,Oligia illocata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",989791,Oligia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,44,Phlogophora iris,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",689102,Phlogophora,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,45,Hyppa xylinoides,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214176,Hyppa,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,46,Platyperigea multifera,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,47,Eupsilia tristigmata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",689083,Eupsilia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,48,Polia latex,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,49,Melanchra pulverulenta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",685374,Melanchra,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,50,Lacanobia radix,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",685370,Lacanobia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,51,Lacanobia grandis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",721908,Spiramater,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,52,Mythimna unipuncta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",103831,Mythimna,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,53,Leucania multilinea,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",688383,Leucania,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,54,Orthosia revicta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214293,Orthosia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,55,Crocigrapha normani,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",214105,Crocigrapha,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,56,Homorthodes furfurata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",989047,Homorthodes,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,57,Agrotis ipsilon,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",56364,Agrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,58,Peridroma saucia,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",244290,Peridroma,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,59,Diarsia rubifera,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",691569,Diarsia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,60,Diarsia jucunda,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",688372,Diarsia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,61,Xestia adela,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,62,Xestia smithii,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",690917,Xestia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,63,Metalepsis salicarum,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,64,Anaplectoides pressus,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",691554,Anaplectoides,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,65,Eueretagrotis attenta,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",691541,Eueretagrotis,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,66,Cryptocala acadiensis,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",688404,Cryptocala,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,67,Pyrrhia exprimens,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",38058,Pyrrhia,Noctuidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
29,68,Cyrtophleba coquilletti,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",2176041,Cyrtophleba,Tachinidae,Diptera,Insecta,NA,NA,NA,NA,NA,NA
29,69,Megachile rotundata,Lymantria dispar NPV  (LdMNPV),"Barber, K.N., Kaupp, W. J., and Holmes, S. B. 1993. Specificity testing of the nuclear polyhedrosis virus of the gypsy moth, Lymantria dispar (L.) (Lepidoptera:Lymantriidae). Can. Entomol.  125:1055-1066.",143995,Megachile,Megachilidae,Hymenoptera,Insecta,NA,NA,NA,NA,NA,NA
131,70,Boloria uphrosyne,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,71,Clossiana selene,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.",191398,Boloria,Nymphalidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
131,72,Pararge aegeria,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.",116150,Pararge,Nymphalidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
131,73,Polyommatus icarus,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.",265386,Polyommatus,Lycaenidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
131,74,Pieris brassicae,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.",7116,Pieris,Pieridae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
131,75,Malacosoma neustria,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.",7098,Malacosoma,Lasiocampidae,Lepidoptera,Insecta,NA,NA,NA,NA,NA,NA
131,76,Philudoria potatoria,Mamestra brassicae NPV (MbMNPV),"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
