"","presence","Host","Pathogen","HighTaxon","LowTaxon","LogMaxDose","HostStageTested","HostTissueInfected"
"444",1,"Phryganidia californica","Nosema phryganidiae ","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; silk glands; midgut; Malpighian tubules; gonads; central nervous system; tracheal epithelium; hemocytes"
"445",1,"Leptinotarsa undecemlineata ","Nosema polygrammae","Microspora","Microsporea (Microsporida)",NA,NA,"Gut"
"446",1,"Chelonus annulipes","Nosema pyrausta","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut"
"447",1,"Macrocentrus gifuensis","Nosema pyrausta","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut"
"448",1,"Ephemera vulgata","Tuzetia schneideri","Microspora","Microsporea (Microsporida)",NA,NA,"Gut"
"449",1,"Scolytus ensifer","Nosema scolyti","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; intestine; hemocytes"
"450",1,"Scolytus scolytus","Nosema scolyti","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; intestine; hemocytes; midgut"
"451",1,"Lymantria dispar","Nosema serbica","Microspora","Microsporea (Microsporida)",NA,NA,"Gut; silk glands; fat body; Malpighian tubules; muscle"
"452",1,"Paranthrene tabaniformis","Nosema sesiae","Microspora","Microsporea (Microsporida)",NA,NA,""
"453",1,"Sphaeromias sp.","Nosema sphaeromiadis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"454",1,"Manduca sexta","Nosema sphingidis","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut epithelium (posterior portion)"
"455",1,"Aedes aegypti","Nosema stegomyiae","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; ovaries; tracheal epithelium; stomach; esophagus; coelom; muscle (thoracic)"
"456",1,"Simulium ornatum","Caudospora stricklandi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"457",1,"Nephrotoma pratensis","Nosema strictum","Microspora","Microsporea (Microsporida)",NA,NA,""
"458",1,"Ephemerella ignita","Nosema tatrica","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"459",1,"Choristoneura conflictana","Nosema thomsoni ","Microspora","Microsporea (Microsporida)",NA,NA,"Malpighian tubules; silk glands; gut"
"460",1,"Tortrix viridana","Nosema tortricis","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"461",1,"Trichoplusia ni","Nosema trichoplusiae","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut, Malpighian tubules, hemocytes"
"462",1,"Ips typographus","Nosema typographi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"463",1,"Agraulis vanillae","Nosema vanillae","Microspora","Microsporea (Microsporida)",NA,NA,""
"464",1,"Velia currens","Nosema veliae","Microspora","Microsporea (Microsporida)",NA,NA,"Peri-intestinal tissue; fat cells; oenocytes"
"465",1,"Rhyzopertha dominica","Nosema weiseri","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"466",1,"Tribolium castaneum","Nosema whitei","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body"
"467",1,"Tribolium confusum","Nosema whitei","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"468",1,"Tribolium anaphe","Nosema whitei","Microspora","Microsporea (Microsporida)",NA,NA,""
"469",1,"Oryzaephilus surinamensis","Nosema whitei","Microspora","Microsporea (Microsporida)",NA,NA,""
"470",1,"Tenebrio molitor","Nosema whitei","Microspora","Microsporea (Microsporida)",NA,NA,""
"471",1,"Chironomus riparius","Nosema zavreli","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut"
"472",1,"Eriogaster lanestris","Nosema zwoelferi","Microspora","Microsporea (Microsporida)",NA,NA,"Gut"
"473",1,"Euproctis subflava","Nosema sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"474",1,"Euxoa messoria","Nosema sp.","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"475",1,"Samia cynthia","Nosema sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"476",1,"Cydia strobilella","Nosema sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"477",1,"Pissodes piceae","Nosema sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"478",1,"Mythimna correcta","Nosema sp. ","Microspora","Microsporea (Microsporida)",NA,NA,""
"479",1,"Pissodes strobi","Nosema sp. ","Microspora","Microsporea (Microsporida)",NA,NA,"Muscle; fat body"
"480",1,"Spodoptera mauritia acronyctoides","Nosema sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"481",1,"Chironomus plumosus","Jirovecia brevicauda","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"482",1,"Chironomus anthracinus","Jirovecia brevicauda","Microspora","Microsporea (Microsporida)",NA,NA,""
"483",1,"Calopteryx virgo","Microsporidium calopterygis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"484",1,"Culex territans","Microsporidium chapmani","Microspora","Microsporea (Microsporida)",NA,NA,"Gastric caeca; Midgut"
"485",1,"Culiseta inornata","Microsporidium chapmani","Microspora","Microsporea (Microsporida)",NA,NA,""
"486",1,"Chironomus longipes","Microsporidium chironomi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"487",1,"Simulium maculatum","Microsporidium debaisieuxi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"488",1,"Simulium ornatum","Microsporidium debaisieuxi","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"489",1,"Ephemera sp.","Microsporidium ephemerae","Microspora","Microsporea (Microsporida)",NA,NA,"Gut"
"490",1,"Eriogaster lanestris","Microsporidium eriogastri","Microspora","Microsporea (Microsporida)",NA,NA,"Hypodermis"
"491",1,"Ptychoptera contaminata","Microsporidium francottei","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut"
"492",1,"Eupoecilia ambiguella","Microsporidium legeri","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut (primarily); Malpighian tubules; silk glands; oenocytes; muscle; reproductive organs"
"493",1,"Leptophlebia vespertina","Microsporidium leptophlebiae","Microspora","Microsporea (Microsporida)",NA,NA,"Gut wall, Muscle, all organs (except fat)."
"494",1,"Otiorhynchus fuscipes","Microsporidium longifilum","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"495",1,"Culex pilosus","Culicosporella lunata","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Blood."
"496",1,"Culex pipiens","Culicospora magna","Microspora","Microsporea (Microsporida)",NA,NA,"fat body; Adipose tissue, oenocytes, oocytes, esophageal valve, hindgut"
"497",1,"Culex territans","Culicospora magna","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"498",1,"Anopheles stephensi","Culicospora magna","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"499",1,"Anopheles punctipennis","Culicospora magna","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"500",1,"Aedes sierrensis","Culicospora magna","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"501",1,"Culiseta inornata","Culicospora magna","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"502",1,"Pieris brassicae","Microsporidium mesnili","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"503",1,"Tanypus setiger","Microsporidium micrococcus","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"504",1,"Culex quinquefasciatus","Hazardia milleri","Microspora","Microsporea (Microsporida)",NA,NA,"Blood cells; adipose tissue"
"505",1,"Ameletus ludens","Microsporidium mutabilis","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"506",1,"Orthocladius lignicola","Microsporidium orthocladii","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"507",1,"Tanypus sp.","Microsporidium polysporum","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"508",1,"Odagmia caucasica","Microsporidium rubstovi","Microspora","Microsporea (Microsporida)",NA,NA,"Salivary glands"
"509",1,"Simulium bezzii","Bohuslavia simulii","Microspora","Microsporea (Microsporida)",NA,NA,"fat body"
"510",1,"Tabanus atratus","Microsporidium tabani","Microspora","Microsporea (Microsporida)",NA,NA,""
"511",1,"Muscina levida","Microsporidium thomsoni","Microspora","Microsporea (Microsporida)",NA,NA,"Chyle stomach; intestine (proximal)"
"512",1,"Reticulitermes flavipes","Microsporidium termitis","Microspora","Microsporea (Microsporida)",NA,NA,"Midgut"
"513",1,"Aedes detritus","Microsporidium tuzetae","Microspora","Microsporea (Microsporida)",NA,NA,""
"514",1,"Costelytra zealandica","Serratia entomophila","Non-spore-forming bacteria","Enterobacteriaceae",NA,NA,"Foregut"
"515",1,"Costelytra zealandica","Serratia sp.","Non-spore-forming bacteria","Enterobacteriaceae",NA,NA,"Foregut; crop"
"516",1,"Costelytra zealandica","Hirsutella stylophora","Deuteromycetes","unknown",NA,NA,""
"517",1,"Costelytra zealandica","Nosema costelytrae","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body, Tracheole cells, nerve ganglia, muscle"
"518",1,"Costelytra zealandica","Nosema takapauensis","Microspora","Microsporea (Microsporida)",NA,NA,"Fat body, Tracheole cells,oenocytes"
"519",1,"Costelytra zealandica","Pleistophora sp.","Microspora","Microsporea (Microsporida)",NA,NA,""
"520",1,"Costelytra zealandica","Bacillus sp.","Spore-forming bacteria","Bacillaceae",NA,NA,""
"521",1,"Acleris variana","Entomophaga aulicae","Zygomycetes","Entomophthorales",NA,NA,""
"522",1,"Archips crataegana","Pseudomonas chlororaphis","Non-spore-forming bacteria","Pseudomonadaceae ",NA,NA,""
"523",1,"Choristoneura conflictana","Beauveria bassiana","Deuteromycetes","unknown",NA,NA,"Hemocoel"
"524",1,"Acleris minuta","Conidiobolus thromboides  ","Zygomycetes","Entomophthorales",NA,NA,""
"525",1,"Choristoneura conflictana","Entomophthora  sp.","Zygomycetes","Entomophthorales",NA,NA,"Hemocoel"
"526",1,"Choristoneura crataegana","Entomophaga aulicae","Zygomycetes","Entomophthorales",NA,NA,"Hemocoel"
"527",1,"Choristoneura fumiferana","Beauveria bassiana","Deuteromycetes","unknown",NA,NA,""
"528",1,"Choristoneura fumiferana","Cephalosporium  sp.","Deuteromycetes","unknown",NA,NA,""
"529",1,"Choristoneura fumiferana","Conidiobolus sp.","Zygomycetes","Entomophthorales",NA,NA,""
"530",1,"Choristoneura fumiferana","Entomophaga aulicae","Zygomycetes","Entomophthorales",NA,NA,""
"531",1,"Choristoneura fumiferana","Zoophthora radicans  ","Zygomycetes","Entomophthorales",NA,NA,""
"532",1,"Choristoneura fumiferana","Hirsutella longicolla","Deuteromycetes","unknown",NA,NA,""
"533",1,"Clepsis  buschana","Beauveria bassiana","Deuteromycetes","unknown",NA,NA,""
"534",1,"Quadraspidiotus perniciosus","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"535",1,"Lepidosaphes newsteadi","Myiophagus ucrainicus","Chytridiomycetes","Chytridiales",NA,NA,""
"536",1,"Lepidosaphes beckii","Myiophagus ucrainicus","Chytridiomycetes","Chytridiales",NA,NA,""
"537",1,"Carulaspis juniperi ","Myiophagus ucrainicus","Chytridiomycetes","Chytridiales",NA,NA,""
"538",1,"Aonidiella aurantii","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"539",1,"Quadraspidiotus perniciosus","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"540",1,"Aspidiotus sp.","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"541",1,"Chrysomphalus aonidum","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"542",1,"Pseudaulacaspis pentagona","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"543",1,"Melanaspis obscura","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"544",1,"Diaspis spp.","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"545",1,"Lepidosaphes beckii","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"546",1,"Parlatoria ziziphi","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"547",1,"Pseudaonidia duplex","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"548",1,"Quadraspidiotus ostreaeformis","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"549",1,"Unaspis citri","Nectria aurantiicola","Pyrenomycetes","Hypocreales",NA,NA,""
"550",1,"Lepidosaphes beckii","Nectria barbata","Pyrenomycetes","Hypocreales",NA,NA,""
"551",1,"Bigymnaspis bullata","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"552",1,"Aonidia crenulata","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"553",1,"Selenaspidus articulatus","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"554",1,"Aspidiotus destructor","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"555",1,"Quadraspidiotus perniciosus","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"556",1,"Chrysomphalus aonidum","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"557",1,"Chrysomphalus dictyospermi        ","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"558",1,"Pseudaulacaspis pentagona","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"559",1,"Fiorinia fioriniae","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"560",1,"Trullifiorinia rubrolineata","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"561",1,"Ischnaspis longirostris","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"562",1,"Lepidosaphes beckii","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"563",1,"Lepidosaphes pallida","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"564",1,"Parlatoria ziziphi","Nectria diploa","Pyrenomycetes","Hypocreales",NA,NA,""
"565",1,"Aonidia lauri","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"566",1,"Aonidiella aurantii","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"567",1,"Aspidiotus destructor","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"568",1,"Aspidiotus nerii","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"569",1,"Hemiberlesia lataniae","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"570",1,"Pseudaulacaspis pentagona","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"571",1,"Howardia biclavis","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"572",1,"Melanaspis obscura","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"573",1,"Diaspis sp.","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"574",1,"Fiorinia fioriniae","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"575",1,"Ischnaspis longirostris","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"576",1,"Lepidosaphes beckii","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"577",1,"Mytilaspis sp.","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"578",1,"Leonardianna pimentae","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"579",1,"Parlatoria ziziphi","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"580",1,"Chionaspis pinifoliae","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"581",1,"Pseudaonidia duplex","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"582",1,"Unaspis citri","Nectria flammea ","Pyrenomycetes","Hypocreales",NA,NA,""
"583",1,"Aspidiotus destructor","Torrubiella luteorostrata","Pyrenomycetes","Hypocreales",NA,NA,""
"584",1,"Trullifiorinia rubrolineata","Torrubiella luteorostrata","Pyrenomycetes","Hypocreales",NA,NA,""
"585",1,"Fiorinia sp.","Torrubiella luteorostrata","Pyrenomycetes","Hypocreales",NA,NA,""
"586",1,"Lepidosaphes lactea","Torrubiella luteorostrata","Pyrenomycetes","Hypocreales",NA,NA,""
"587",1,"Aspidiotus destructor","Torrubiella tenuis","Pyrenomycetes","Hypocreales",NA,NA,""
"588",1,"Leucaspis sp.","Torrubiella tomentosa","Pyrenomycetes","Hypocreales",NA,NA,""
"589",1,"Chionaspis vitis ","Podonectria aurantii","Loculoascomycetes","Pleosporales",NA,NA,""
"590",1,"Lepidosaphes beckii","Podonectria aurantii","Loculoascomycetes","Pleosporales",NA,NA,""
"591",1,"Parlatoria ziziphi","Podonectria aurantii","Loculoascomycetes","Pleosporales",NA,NA,""
"592",1,"Unaspis citri","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"593",1,"Diaspis manni","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"594",1,"Chrysomphalus aonidum","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"595",1,"Ischnaspis sp.","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"596",1,"Lepidosaphes beckii","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"597",1,"Leucaspis sp.","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"598",1,"Lepidosaphes gloveri","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"599",1,"Parlatoria pergandii","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"600",1,"Parlatoria ziziphi","Podonectria coccicola","Loculoascomycetes","Pleosporales",NA,NA,""
"601",1,"Fiorinia japonica","Podonectria coccorum","Loculoascomycetes","Pleosporales",NA,NA,""
"602",1,"Lepidosaphes sp.","Podonectria echinata","Loculoascomycetes","Pleosporales",NA,NA,""
"603",1,"Leucaspis sp.","Podonectria novaezeylandica","Loculoascomycetes","Pleosporales",NA,NA,""
"604",1,"Lepidosaphes ulmi","Podonectria tenuispora","Loculoascomycetes","Pleosporales",NA,NA,""
"605",1,"Aonidia lauri","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"606",1,"Aonidiella aurantii","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"607",1,"Diaspidiotus ancylus","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"608",1,"Hemiberlesia rapax","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"609",1,"Quadraspidiotus perniciosus","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"610",1,"Aspidiotus destructor","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"611",1,"Pseudaulacaspis pentagona","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"612",1,"Howardia biclavis","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"613",1,"Melanaspis obscura","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"614",1,"Chionaspis salicis ","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"615",1,"Lepidosaphes beckii","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"616",1,"Lepidosaphes gloveri","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"617",1,"Mytilaspis sp.","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"618",1,"Leonardianna pimentae","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"619",1,"Parlatoria pergandii","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"620",1,"Unaspis citri","Myriangium duriaei","Loculoascomycetes","Myriangiales",NA,NA,""
"621",1,"Aspidiotus sp.","Myriangium montagnei","Loculoascomycetes","Myriangiales",NA,NA,""
"622",1,"Diaspis manni","Myriangium montagnei","Loculoascomycetes","Myriangiales",NA,NA,""
"623",1,"Lepidosaphes sp.","Myriangium thwaitesii","Loculoascomycetes","Myriangiales",NA,NA,""
"624",1,"Lepidosaphes sp.","Eriothyrium coccicolum","Deuteromycetes","unknown",NA,NA,""
"625",1,"Fiorinia japonica","Muricularia calva","Deuteromycetes","unknown",NA,NA,""
"626",1,"Fiorinia japonica","Pyrenochaeta sparsibarba","Deuteromycetes","unknown",NA,NA,""
"627",1,"Fiorinia japonica","Fusarium sp.","Deuteromycetes","unknown",NA,NA,""
"628",1,"Ischnaspis sp.","Hirsutella  besseyi ","Deuteromycetes","unknown",NA,NA,""
"629",1,"Lepidosaphes beckii","Hirsutella  besseyi ","Deuteromycetes","unknown",NA,NA,""
"630",1,"Chrysomphalus aonidum","Hirsutella sp.","Deuteromycetes","unknown",NA,NA,""
"631",1,"Diaspis sp.","Verticillium heterocladum","Deuteromycetes","unknown",NA,NA,""
"632",1,"Mytilaspis sp.","Verticillium heterocladum","Deuteromycetes","unknown",NA,NA,""
"633",1,"Aspidiotus destructor","Verticillium lecanii","Deuteromycetes","unknown",NA,NA,""
"634",1,"Aspidiotus nerii","Verticillium lecanii","Deuteromycetes","unknown",NA,NA,""
"635",1,"Pseudaulacaspis pentagona","Verticillium lecanii","Deuteromycetes","unknown",NA,NA,""
"636",1,"Chionaspis salicis ","Verticillium lecanii","Deuteromycetes","unknown",NA,NA,""
"637",1,"Lepidosaphes ulmi","Verticillium lecanii","Deuteromycetes","unknown",NA,NA,""
"638",1,"Mytilaspis sp.","Verticillium lecanii","Deuteromycetes","unknown",NA,NA,""
"639",1,"Unaspis citri","Verticillium lecanii","Deuteromycetes","unknown",NA,NA,""
"640",1,"Chrysomphalus dictyospermi        ","Verticillium sp.","Deuteromycetes","unknown",NA,NA,""
"641",1,"Lepidosaphes ulmi","Verticillium sp.","Deuteromycetes","unknown",NA,NA,""
"642",1,"Galeraspis eugeniae","Haplographium coccorum","Deuteromycetes","unknown",NA,NA,""
"643",1,"Aonidia sp.","Peziotrichum lachnella","Deuteromycetes","unknown",NA,NA,""
"644",1,"Pinnaspis aspidistrae","Peziotrichum lachnella","Deuteromycetes","unknown",NA,NA,""
"645",1,"Quadraspidiotus perniciosus","Peziotrichum saccardinum","Deuteromycetes","unknown",NA,NA,""
"646",1,"Parlatoria aonidiformis","Volutella epicoccum","Deuteromycetes","unknown",NA,NA,""
"647",1,"Fiorinia japonica","Stilbum coccorum","Deuteromycetes","unknown",NA,NA,""
"648",1,"Aspidiotus sp.","Uredinella coccidophaga","Urediniomycetes","Septobasidiales",NA,NA,""
"649",1,"Aspidiotus sp.","Uredinella spinulosa","Urediniomycetes","Septobasidiales",NA,NA,""
"650",1,"Bigymnaspis bullata","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"651",1,"Aonidia crenulata","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"652",1,"Aspidiotus destructor","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"653",1,"Aspidiotus sp.","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"654",1,"Chrysomphalus aonidum","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"655",1,"Chrysomphalus dictyospermi        ","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"656",1,"Fiorinia fioriniae","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"657",1,"Ischnaspis longirostris","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"658",1,"Ischnaspis sp.","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"659",1,"Lepidosaphes beckii","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"660",1,"Lepidosaphes pallida","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"661",1,"Parlatoria ziziphi","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"662",1,"Pseudaulacaspis pentagona","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"663",1,"Quadraspidiotus perniciosus","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"664",1,"Selenaspidus articulatus","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"665",1,"Trullifiorinia rubrolineata","Fusarium juruanum","Deuteromycetes","unknown",NA,NA,""
"666",1,"Quadraspidiotus perniciosus","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"667",1,"Aonidia lauri","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"668",1,"Aonidiella aurantii","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"669",1,"Aspidiotus destructor","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"670",1,"Aspidiotus nerii","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"671",1,"Hemiberlesia lataniae","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"672",1,"Aspidiotus sp.","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"673",1,"Pseudaulacaspis pentagona","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"674",1,"Howardia biclavis","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"675",1,"Chionaspis salicis ","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"676",1,"Chionaspis sp.","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"677",1,"Melanaspis obscura","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"678",1,"Diaspis sp.","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"679",1,"Fiorinia fioriniae","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"680",1,"Ischnaspis longirostris","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"681",1,"Lepidosaphes beckii","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"682",1,"Mytilaspis sp.","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"683",1,"Leonardianna pimentae","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"684",1,"Parlatoria ziziphi","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"685",1,"Chionaspis pinifoliae","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"686",1,"Pseudaonidia duplex","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"687",1,"Unaspis citri","Fusarium coccophilum","Deuteromycetes","unknown",NA,NA,""
"688",1,"Aonidiella aurantii","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"689",1,"Quadraspidiotus perniciosus","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"690",1,"Aspidiotus sp.","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"691",1,"Chrysomphalus aonidum","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"692",1,"Pseudaulacaspis pentagona","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"693",1,"Melanaspis obscura","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"694",1,"Diaspis sp.","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"695",1,"Lepidosaphes beckii","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"696",1,"Parlatoria ziziphi","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"697",1,"Pseudaonidia duplex","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"698",1,"Quadraspidiotus ostreaeformis","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"699",1,"Unaspis citri","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"700",1,"Parlatoria pergandii","Fusarium larvarum","Deuteromycetes","unknown",NA,NA,""
"701",1,"Unaspis citri","Tetracrium coccicolum","Deuteromycetes","unknown",NA,NA,""
"702",1,"Diaspis manni","Tetracrium coccicolum","Deuteromycetes","unknown",NA,NA,""
